# f1_exp_082_208_pp.dat
#
# Z = 82, A = 208
# No. of entries: 71
# Col 1: photon energy E in MeV
# Col 2: bin width dE in MeV
# Col 3: dipole strength f1 in MeV^-3
# Col 4: uncertainty df1 in MeV^-3
# Format: 2f10.3, 2e12.3
# Author: P von Neumann-Cosel
#    E         dE      f           df
     5.092     0.010   1.605E-07   1.311E-08
     5.592     0.010   2.770E-07   1.465E-08
     6.092     0.010   7.118E-08   1.196E-08
     6.592     0.010   9.071E-08   4.885E-09
     7.100     0.010   3.855E-07   2.467E-08
     7.300     0.010   5.809E-07   4.377E-08
     7.500     0.010   3.437E-07   3.323E-08
     7.700     0.010   5.240E-07   5.528E-08
     7.900     0.010   5.184E-07   4.456E-08
     8.100     0.010   2.131E-07   3.130E-08
     8.300     0.010   4.322E-07   2.619E-08
     8.500     0.010   2.666E-07   3.495E-08
     8.700     0.010   3.506E-07   4.372E-08
     8.900     0.010   8.710E-07   5.800E-08
     9.100     0.010   5.049E-07   3.490E-08
     9.300     0.010   6.942E-07   4.073E-08
     9.500     0.010   7.545E-07   4.467E-08
     9.700     0.010   6.081E-07   3.799E-08
     9.900     0.010   9.933E-07   6.025E-08
    10.100     0.010   1.255E-06   7.578E-08
    10.300     0.010   8.134E-07   4.815E-08
    10.500     0.010   1.316E-06   8.259E-08
    10.700     0.010   1.391E-06   8.452E-08
    10.900     0.010   1.411E-06   8.912E-08
    11.100     0.010   1.915E-06   1.266E-07
    11.300     0.010   2.551E-06   1.615E-07
    11.500     0.010   2.232E-06   1.386E-07
    11.700     0.010   2.404E-06   1.518E-07
    11.900     0.010   2.738E-06   1.755E-07
    12.100     0.010   2.893E-06   1.816E-07
    12.300     0.010   2.975E-06   1.928E-07
    12.500     0.010   3.186E-06   1.939E-07
    12.700     0.010   3.475E-06   2.114E-07
    12.900     0.010   3.778E-06   2.222E-07
    13.100     0.010   4.096E-06   2.519E-07
    13.300     0.010   4.308E-06   2.518E-07
    13.500     0.010   4.194E-06   2.366E-07
    13.700     0.010   4.065E-06   2.107E-07
    13.900     0.010   4.084E-06   2.101E-07
    14.100     0.010   3.821E-06   1.509E-07
    14.300     0.010   3.506E-06   1.506E-07
    14.500     0.010   3.232E-06   1.069E-07
    14.700     0.010   2.925E-06   7.889E-08
    14.900     0.010   2.644E-06   9.143E-08
    15.100     0.010   2.261E-06   1.010E-07
    15.300     0.010   2.072E-06   9.745E-08
    15.500     0.010   1.978E-06   7.251E-08
    15.700     0.010   1.580E-06   7.938E-08
    15.900     0.010   1.473E-06   7.865E-08
    16.100     0.010   1.291E-06   9.969E-08
    16.300     0.010   1.197E-06   1.144E-07
    16.500     0.010   1.182E-06   1.178E-07
    16.700     0.010   1.051E-06   1.341E-07
    16.900     0.010   9.770E-07   1.304E-07
    17.100     0.010   8.617E-07   1.422E-07
    17.300     0.010   7.957E-07   1.189E-07
    17.500     0.010   7.559E-07   1.069E-07
    17.700     0.010   6.447E-07   1.569E-07
    17.900     0.010   5.810E-07   1.397E-07
    18.100     0.010   5.797E-07   1.199E-07
    18.300     0.010   5.591E-07   1.201E-07
    18.500     0.010   5.076E-07   1.201E-07
    18.700     0.010   5.019E-07   1.520E-07
    18.900     0.010   4.744E-07   6.377E-08
    19.100     0.010   4.013E-07   6.420E-08
    19.300     0.010   3.396E-07   2.769E-08
    19.500     0.010   4.069E-07   6.951E-08
    19.700     0.010   3.361E-07   8.139E-08
    19.900     0.010   3.436E-07   6.747E-08
    20.100     0.010   2.908E-07   4.411E-08
    20.300     0.010   2.501E-07   4.367E-08
