# A El   Z    S(n) - neutron energy
  1  n   0       * 
103 Y   39    9539.
103 Zr  40   10792.
103 Nb  41   12279.
103 Mo  42   13583.
103 Tc  43   14401.
103 Ru  44   15451.
103 Rh  45   16761.
103 Pd  46   18167.
103 Ag  47   19610.
103 Cd  48   20957.
103 In  49   22161#
103 Sn  50   22809.
103 Sb  51       * 
104 Sr  38    8090#
104 Y   39    9033#
104 Zr  40   10278.
104 Nb  41   11657.
104 Mo  42   12926.
104 Tc  43   14073.
104 Ru  44   15131.
104 Rh  45   16318.
104 Pd  46   17634.
104 Ag  47   19012.
104 Cd  48   20451.
104 In  49   21630.
104 Sn  50   22834.
104 Sb  51       * 
105 Sr  38    7331#
105 Y   39    8955.
105 Zr  40    9792.
105 Nb  41   11029.
105 Mo  42   12519.
105 Tc  43   13828.
105 Ru  44   14809.
105 Rh  45   15962.
105 Pd  46   17103.
105 Ag  47   18410.
105 Cd  48   19824.
105 In  49   21150.
105 Sn  50   22508.
105 Sb  51   23980#
105 Te  52       * 
106 Sr  38    6827#
106 Y   39    8132#
106 Zr  40    8968.
106 Nb  41   10526.
106 Mo  42   11927.
106 Tc  43   13415.
106 Ru  44   14370.
106 Rh  45   15545.
106 Pd  46   16655.
106 Ag  47   17968.
106 Cd  48   19306.
106 In  49   20568.
106 Sn  50   21869.
106 Sb  51   23442.
106 Te  52       * 
107 Sr  38    6432#
107 Y   39    7237#
107 Zr  40    9057.
107 Nb  41    9950.
107 Mo  42   11357.
107 Tc  43   12602.
107 Ru  44   14070.
107 Rh  45   15155.
107 Pd  46   16097.
107 Ag  47   17478.
107 Cd  48   18799.
107 In  49   20066.
107 Sn  50   21316.
107 Sb  51   22780.
107 Te  52   23870.
107 I   53       * 
108 Y   39    7387#
108 Zr  40    8946#
108 Nb  41    9485.
108 Mo  42   10764.
108 Tc  43   12289.
108 Ru  44   13480.
108 Rh  45   14811.
108 Pd  46   15759.
108 Ag  47   16807.
108 Cd  48   18262.
108 In  49   19654.
108 Sn  50   20858.
108 Sb  51   22114.
108 Te  52   23704.
108 I   53       * 
109 Y   39    6979#
109 Zr  40    7956#
109 Nb  41    9108.
109 Mo  42   10257.
109 Tc  43   11675.
109 Ru  44   13018.
109 Rh  45   14278.
109 Pd  46   15376.
109 Ag  47   16455.
109 Cd  48   17656.
109 In  49   19067.
109 Sn  50   20260.
109 Sb  51   21740.
109 Te  52   23318.
109 I   53   24385#
109 Xe  54       * 
110 Zr  40    7675#
110 Nb  41    8906.
110 Mo  42    9929.
110 Tc  43   11254.
110 Ru  44   12553.
110 Rh  45   13939.
110 Pd  46   14949.
110 Ag  47   15993.
110 Cd  48   17238.
110 In  49   18492.
110 Sn  50   19914.
110 Sb  51   21147.
110 Te  52   22590.
110 I   53   23957.
110 Xe  54       * 
111 Zr  40    7510#
111 Nb  41    8328#
111 Mo  42    9416.
111 Tc  43   10884.
111 Ru  44   12189.
111 Rh  45   13447.
111 Pd  46   14522.
111 Ag  47   15638.
111 Cd  48   16890.
111 In  49   18045.
111 Sn  50   19451.
111 Sb  51   20728.
111 Te  52   22014.
111 I   53   23423.
111 Xe  54   24368.
111 Cs  55       * 
112 Zr  40    7067#
112 Nb  41    8107#
112 Mo  42    9064#
112 Tc  43   10367.
112 Ru  44   11700.
112 Rh  45   13045.
112 Pd  46   14133.
112 Ag  47   15269.
112 Cd  48   16369.
112 In  49   17662.
112 Sn  50   18955.
112 Sb  51   20291.
112 Te  52   21480.
112 I   53   22741.
112 Xe  54   24246.
112 Cs  55       * 
113 Nb  41    7778#
113 Mo  42    8693#
113 Tc  43    9929.
113 Ru  44   11225.
113 Rh  45   12605.
113 Pd  46   13747.
113 Ag  47   14954.
113 Cd  48   15933.
113 In  49   17117.
113 Sn  50   18532.
113 Sb  51   19722.
113 Te  52   20902.
113 I   53   22308.
113 Xe  54   23950.
113 Cs  55   25086#
113 Ba  56       * 
114 Nb  41    7256#
114 Mo  42    8486#
114 Tc  43    9483.
114 Ru  44   10733.
114 Rh  45   12121.
114 Pd  46   13312.
114 Ag  47   14489.
114 Cd  48   15582.
114 In  49   16722.
114 Sn  50   18047.
114 Sb  51   19040.
114 Te  52   20463.
114 I   53   21876#
114 Xe  54   23202.
114 Cs  55   24534.
114 Ba  56       * 
115 Nb  41    6986#
115 Mo  42    8402#
115 Tc  43    9651.
115 Ru  44   10464.
115 Rh  45   11604.
115 Pd  46   12977.
115 Ag  47   14098.
115 Cd  48   15183.
115 In  49   16311.
115 Sn  50   17848.
115 Sb  51   18729.
115 Te  52   19858.
115 I   53   21360.
115 Xe  54   22595.
115 Cs  55   24078#
115 Ba  56   25378#
116 Mo  42    7836#
116 Tc  43    8998#
116 Ru  44    9989.
116 Rh  45   11168.
116 Pd  46   12483.
116 Ag  47   13754.
116 Cd  48   14840.
116 In  49   15822.
116 Sn  50   17108.
116 Sb  51   18468.
116 Te  52   19523.
116 I   53   20839#
116 Xe  54   22103.
116 Cs  55   23503#
116 Ba  56   24817#
116 La  57       * 
117 Mo  42    7564#
117 Tc  43    8204#
117 Ru  44    9442.
117 Rh  45   10810.
117 Pd  46   12140.
117 Ag  47   13341.
117 Cd  48   14476.
117 In  49   15549.
117 Sn  50   16506.
117 Sb  51   17778.
117 Te  52   19175.
117 I   53   20240.
117 Xe  54   21671.
117 Cs  55   22936#
117 Ba  56   24581#
117 La  57       * 
118 Mo  42    7273#
118 Tc  43    8476#
118 Ru  44    9334#
118 Rh  45   10293.
118 Pd  46   11699.
118 Ag  47   13153.
118 Cd  48   14131.
118 In  49   15121.
118 Sn  50   16269.
118 Sb  51   17316.
118 Te  52   18570.
118 I   53   19621.
118 Xe  54   21174.
118 Cs  55   22509#
118 Ba  56   23917#
118 La  57   25057#
119 Tc  43    8132#
119 Ru  44    9217#
119 Rh  45   10068.
119 Pd  46   11126.
119 Ag  47   12606.
119 Cd  48   13701.
119 In  49   14898.
119 Sn  50   15809.
119 Sb  51   16977.
119 Te  52   18228.
119 I   53   19472.
119 Xe  54   20751.
119 Cs  55   21954.
119 Ba  56   23274.
119 La  57   24461#
119 Ce  58       * 
120 Tc  43    7871#
120 Ru  44    8895#
120 Rh  45   10070#
120 Pd  46   11033.
120 Ag  47   12240.
120 Cd  48   13398.
120 In  49   14642.
120 Sn  50   15588.
120 Sb  51   16564.
120 Te  52   17814.
120 I   53   18924.
120 Xe  54   20236.
120 Cs  55   21621.
120 Ba  56   22677#
120 La  57   24153#
120 Ce  58       * 
121 Tc  43    7551#
121 Ru  44    8625#
121 Rh  45    9569.
121 Pd  46   10917.
121 Ag  47   11899.
121 Cd  48   13239.
121 In  49   14279.
121 Sn  50   15274.
121 Sb  51   16268.
121 Te  52   17506.
121 I   53   18628.
121 Xe  54   19829.
121 Cs  55   20939.
121 Ba  56   22297.
121 La  57   23543#
121 Ce  58   24892#
121 Pr  59       * 
122 Ru  44    8281#
122 Rh  45    9408#
122 Pd  46   10478.
122 Ag  47   11597.
122 Cd  48   12797.
122 In  49   13987.
122 Sn  50   14985.
122 Sb  51   16060.
122 Te  52   17089.
122 I   53   18470.
122 Xe  54   19325.
122 Cs  55   20398.
122 Ba  56   21862.
122 La  57   23116#
122 Ce  58   24416#
122 Pr  59       * 
123 Ru  44    8176#
123 Rh  45    9252#
123 Pd  46   10390.
123 Ag  47   11287.
123 Cd  48   12482.
123 In  49   13737.
123 Sn  50   14761.
123 Sb  51   15766.
123 Te  52   16769.
123 I   53   17834.
123 Xe  54   18910.
123 Cs  55   20083.
123 Ba  56   21052.
123 La  57   22603#
123 Ce  58   23739#
123 Pr  59   24951#
124 Ru  44    7953#
124 Rh  45    8952#
124 Pd  46    9916#
124 Ag  47   11236.
124 Cd  48   12231.
124 In  49   13440.
124 Sn  50   14435.
124 Sb  51   15427.
124 Te  52   16353.
124 I   53   17427.
124 Xe  54   18449.
124 Cs  55   19729.
124 Ba  56   20623.
124 La  57   21858#
124 Ce  58   23185#
124 Pr  59   24514#
124 Nd  60       * 
125 Rh  45    8783#
125 Pd  46    9833#
125 Ag  47   11114.
125 Cd  48   12076.
125 In  49   13189.
125 Sn  50   14222.
125 Sb  51   15174.
125 Te  52   15993.
125 I   53   17036.
125 Xe  54   18087.
125 Cs  55   19186.
125 Ba  56   20156.
125 La  57   21251#
125 Ce  58   22514#
125 Pr  59   23853#
125 Nd  60       * 
126 Rh  45    8553#
126 Pd  46    9613#
126 Ag  47   10623#
126 Cd  48   11697.
126 In  49   13045.
126 Sn  50   13923.
126 Sb  51   14915.
126 Te  52   15682.
126 I   53   16688.
126 Xe  54   17628.
126 Cs  55   18762.
126 Ba  56   19722.
126 La  57   20857.
126 Ce  58   22047#
126 Pr  59   23315#
126 Nd  60   24610#
126 Pm  61       * 
127 Rh  45    8173#
127 Pd  46    9203#
127 Ag  47   10063#
127 Cd  48   11541.
127 In  49   12562.
127 Sn  50   13717.
127 Sb  51   14585.
127 Te  52   15401.
127 I   53   16289.
127 Xe  54   17270.
127 Cs  55   18294.
127 Ba  56   19291.
127 La  57   20279.
127 Ce  58   21464#
127 Pr  59   22746#
127 Nd  60   24079#
127 Pm  61       * 
128 Pd  46    8773#
128 Ag  47   10082#
128 Cd  48   11127.
128 In  49   12515.
128 Sn  50   13489.
128 Sb  51   14379.
128 Te  52   15071.
128 I   53   15970.
128 Xe  54   16855.
128 Cs  55   17723.
128 Ba  56   18851.
128 La  57   19794.
128 Ce  58   20855.
128 Pr  59   22150#
128 Nd  60   23464#
128 Pm  61   24578#
128 Sm  62       * 
129 Pd  46    6572#
129 Ag  47    9683#
129 Cd  48   10453.
129 In  49   12084.
129 Sn  50   13262.
129 Sb  51   14072.
129 Te  52   14865.
129 I   53   15665.
129 Xe  54   16517.
129 Cs  55   17401.
129 Ba  56   18387.
129 La  57   19571.
129 Ce  58   20450.
129 Pr  59   21373#
129 Nd  60   22922#
129 Pm  61   24237#
129 Sm  62       * 
130 Ag  47    7220#
130 Cd  48   10018.
130 In  49   11879.
130 Sn  50   12912.
130 Sb  51   13798.
130 Te  52   14501.
130 I   53   15340.
130 Xe  54   16162.
130 Cs  55   17110.
130 Ba  56   18025.
130 La  57   19144.
130 Ce  58   20031.
130 Pr  59   20987.
130 Nd  60   22425#
130 Pm  61   23753#
130 Sm  62   24979#
130 Eu  63       * 
131 Ag  47    4543#
131 Cd  48    8303.
131 In  49   11329.
131 Sn  50   12816.
131 Sb  51   13494.
131 Te  52   14348.
131 I   53   15078.
131 Xe  54   15860.
131 Cs  55   16702.
131 Ba  56   17763.
131 La  57   18587.
131 Ce  58   19563.
131 Pr  59   20669.
131 Nd  60   21596#
131 Pm  61   22922#
131 Sm  62   24276#
131 Eu  63       * 
132 Ag  47    4235#
132 Cd  48    5288#
132 In  49    8670.
132 Sn  50   12556.
132 Sb  51   13492.
132 Te  52   13977.
132 I   53   14909.
132 Xe  54   15541.
132 Cs  55   16395.
132 Ba  56   17316.
132 La  57   18238.
132 Ce  58   19190.
132 Pr  59   20194.
132 Nd  60   20972.
132 Pm  61   22374#
132 Sm  62   23716#
132 Eu  63   24660#
133 Cd  48    4844#
133 In  49    5581#
133 Sn  50    9751.
133 Sb  51   13084.
133 Te  52   13868.
133 I   53   14558.
133 Xe  54   15372.
133 Cs  55   16154.
133 Ba  56   17012.
133 La  57   17867.
133 Ce  58   18852.
133 Pr  59   19779.
133 Nd  60   20706.
133 Pm  61   21890#
133 Sm  62   23241#
133 Eu  63   24109#
133 Gd  64       * 
134 Cd  48    4799#
134 In  49    5392#
134 Sn  50    6029.
134 Sb  51   10527.
134 Te  52   13488.
134 I   53   14482.
134 Xe  54   14989.
134 Cs  55   15881.
134 Ba  56   16657.
134 La  57   17637.
134 Ce  58   18504.
134 Pr  59   19443.
134 Nd  60   20363.
134 Pm  61   21254#
134 Sm  62   22440#
134 Eu  63   23870#
134 Gd  64       * 
135 In  49    5207#
135 Sn  50    5901.
135 Sb  51    6909.
135 Te  52   10934.
135 I   53   14063.
135 Xe  54   14912.
135 Cs  55   15653.
135 Ba  56   16439.
135 La  57   17291.
135 Ce  58   18340.
135 Pr  59   19140.
135 Nd  60   20023.
135 Pm  61   20787.
135 Sm  62   21769#
135 Eu  63   23054#
135 Gd  64   24673#
135 Tb  65       * 
136 In  49    4992#
136 Sn  50    5608#
136 Sb  51    6628.
136 Te  52    8034.
136 I   53   11644.
136 Xe  54   14445.
136 Cs  55   15590.
136 Ba  56   16079.
136 La  57   16961.
136 Ce  58   17818.
136 Pr  59   18955.
136 Nd  60   19695.
136 Pm  61   20573.
136 Sm  62   21577#
136 Eu  63   22458#
136 Gd  64   23930#
136 Tb  65       * 
137 In  49    4655#
137 Sn  50    5299#
137 Sb  51    6512.
137 Te  52    7717.
137 I   53    8719.
137 Xe  54   12112.
137 Cs  55   15106.
137 Ba  56   16013.
137 La  57   16640.
137 Ce  58   17445.
137 Pr  59   18408.
137 Nd  60   19513.
137 Pm  61   20163.
137 Sm  62   21311.
137 Eu  63   22141#
137 Gd  64   22966#
137 Tb  65   24284#
138 Sn  50    5104#
138 Sb  51    5856.
138 Te  52    7413.
138 I   53    8577.
138 Xe  54    9685.
138 Cs  55   12690.
138 Ba  56   15517.
138 La  57   16624.
138 Ce  58   17205.
138 Pr  59   17936.
138 Nd  60   18961.
138 Pm  61   19913.
138 Sm  62   20829.
138 Eu  63   21649#
138 Gd  64   22853#
138 Tb  65   23681#
138 Dy  66       * 
139 Sn  50    4794#
139 Sb  51    5871#
139 Te  52    7043.
139 I   53    8257.
139 Xe  54    9403.
139 Cs  55   10297.
139 Ba  56   13335.
139 La  57   16228.
139 Ce  58   17171.
139 Pr  59   17759.
139 Nd  60   18572.
139 Pm  61   19570.
139 Sm  62   20496.
139 Eu  63   21394.
139 Gd  64   22561#
139 Tb  65   23306#
139 Dy  66       * 
140 Sb  51    5861#
140 Te  52    7022.
140 I   53    7768.
140 Xe  54    9156.
140 Cs  55   10305.
140 Ba  56   11150.
140 La  57   13939.
140 Ce  58   16647.
140 Pr  59   17696.
140 Nd  60   18383.
140 Pm  61   19415.
140 Sm  62   20100.
140 Eu  63   21378.
140 Gd  64   22125#
140 Tb  65   22956#
140 Dy  66   24042#
140 Ho  67       * 
141 Sb  51    5464#
141 Te  52    6425#
141 I   53    7598.
141 Xe  54    8695.
141 Cs  55    9919.
141 Ba  56   10961.
141 La  57   11848.
141 Ce  58   14627.
141 Pr  59   17339.
141 Nd  60   18321.
141 Pm  61   19165.
141 Sm  62   19696.
141 Eu  63   20670.
141 Gd  64   21735#
141 Tb  65   22553#
141 Dy  66   23883#
141 Ho  67       * 
142 Te  52    5936#
142 I   53    7306.
142 Xe  54    8385.
142 Cs  55    9607.
142 Ba  56   10715.
142 La  57   11850.
142 Ce  58   12599.
142 Pr  59   15242.
142 Nd  60   17833.
142 Pm  61   19070.
142 Sm  62   19673.
142 Eu  63   20470.
142 Gd  64   21319.
142 Tb  65   22219.
142 Dy  66   23432#
142 Ho  67   24134#
142 Er  68       * 
143 Te  52    5933#
143 I   53    6846#
143 Xe  54    8148.
143 Cs  55    9340.
143 Ba  56   10347.
143 La  57   11382.
143 Ce  58   12316.
143 Pr  59   13195.
143 Nd  60   15952.
143 Pm  61   18580.
143 Sm  62   19725.
143 Eu  63   20458.
143 Gd  64   21149.
143 Tb  65   22020.
143 Dy  66   22929#
143 Ho  67   23826#
143 Er  68       * 
144 I   53    6653#
144 Xe  54    7785.
144 Cs  55    8899.
144 Ba  56   10067.
144 La  57   10968.
144 Ce  58   12041.
144 Pr  59   13105.
144 Nd  60   13940.
144 Pm  61   16416.
144 Sm  62   19121.
144 Eu  63   20448.
144 Gd  64   20942.
144 Tb  65   21951.
144 Dy  66   22593#
144 Ho  67   23502#
144 Er  68   24721#
144 Tm  69       * 
145 I   53    6451#
145 Xe  54    7433.
145 Cs  55    8521.
145 Ba  56    9721.
145 La  57   10806.
145 Ce  58   11602.
145 Pr  59   12700.
145 Nd  60   13572.
145 Pm  61   14449.
145 Sm  62   17276.
145 Eu  63   19892.
145 Gd  64   20837.
145 Tb  65   22111.
145 Dy  66   22216.
145 Ho  67   23215#
145 Er  68   24123#
145 Tm  69       * 
146 Xe  54    7225.
146 Cs  55    8181.
146 Ba  56    9322.
146 La  57   10343.
146 Ce  58   11346.
146 Pr  59   12073.
146 Nd  60   13320.
146 Pm  61   14180.
146 Sm  62   15173.
146 Eu  63   17641.
146 Gd  64   20468.
146 Tb  65   21538.
146 Dy  66   22127.
146 Ho  67   22771.
146 Er  68   23857#
146 Tm  69   24939#
147 Xe  54    7009#
147 Cs  55    8008.
147 Ba  56    8890.
147 La  57    9985.
147 Ce  58   11089.
147 Pr  59   11960.
147 Nd  60   12857.
147 Pm  61   13917.
147 Sm  62   14757.
147 Eu  63   15695.
147 Gd  64   18573.
147 Tb  65   20496.
147 Dy  66   22096.
147 Ho  67   22779.
147 Er  68   23510#
147 Tm  69   24534#
148 Xe  54    6788#
148 Cs  55    7743.
148 Ba  56    8789.
148 La  57    9801.
148 Ce  58   10905.
148 Pr  59   11997.
148 Nd  60   12624.
148 Pm  61   13554.
148 Sm  62   14482.
148 Eu  63   15324.
148 Gd  64   16326.
148 Tb  65   18916.
148 Dy  66   21447.
148 Ho  67   22895.
148 Er  68   23299.
148 Tm  69   23852#
148 Yb  70       * 
149 Cs  55    7473#
149 Ba  56    8998.
149 La  57    9684.
149 Ce  58   10798.
149 Pr  59   11737.
149 Nd  60   12371.
149 Pm  61   13164.
149 Sm  62   14012.
149 Eu  63   15038.
149 Gd  64   15912.
149 Tb  65   16888.
149 Dy  66   19642.
149 Ho  67   22032.
149 Er  68   23276.
149 Tm  69   24051#
149 Yb  70       * 
150 Cs  55    7402#
150 Ba  56    8449#
150 La  57    9563.
150 Ce  58   10591.
150 Pr  59   11907.
150 Nd  60   12414.
150 Pm  61   12874.
150 Sm  62   13857.
150 Eu  63   14635.
150 Gd  64   15637.
150 Tb  65   16711.
150 Dy  66   17592.
150 Ho  67   20097.
150 Er  68   22494.
150 Tm  69   23868#
150 Yb  70   24451#
150 Lu  71       * 
151 Cs  55    7122#
151 Ba  56    7962#
151 La  57    9233.
151 Ce  58   10697.
151 Pr  59   11882.
151 Nd  60   12710.
151 Pm  61   13464.
151 Sm  62   13583.
151 Eu  63   14354.
151 Gd  64   15204.
151 Tb  65   16277.
151 Dy  66   17199.
151 Ho  67   18118.
151 Er  68   20667.
151 Tm  69   23033#
151 Yb  70   24487#
151 Lu  71       * 
152 Cs  55    6903#
152 Ba  56    7953#
152 La  57    9303#
152 Ce  58   10276#
152 Pr  59   11600.
152 Nd  60   12612.
152 Pm  61   13799.
152 Sm  62   13854.
152 Eu  63   14238.
152 Gd  64   15085.
152 Tb  65   15753.
152 Dy  66   16950.
152 Ho  67   17801.
152 Er  68   18811.
152 Tm  69   21372#
152 Yb  70   23775#
152 Lu  71   24925#
153 Ba  56    7673#
153 La  57    8892#
153 Ce  58    9827#
153 Pr  59   10931.
153 Nd  60   12529.
153 Pm  61   13404.
153 Sm  62   14126.
153 Eu  63   14857.
153 Gd  64   14836.
153 Tb  65   15832.
153 Dy  66   16533.
153 Ho  67   17532.
153 Er  68   18344.
153 Tm  69   19343.
153 Yb  70   21808#
153 Lu  71   24407#
153 Hf  72       * 
154 Ba  56    7252#
154 La  57    8382#
154 Ce  58    9382#
154 Pr  59   10489.
154 Nd  60   11818.
154 Pm  61   13400.
154 Sm  62   13835.
154 Eu  63   14992.
154 Gd  64   15141.
154 Tb  65   15582.
154 Dy  66   16418.
154 Ho  67   17177.
154 Er  68   18247.
154 Tm  69   18849.
154 Yb  70   19804.
154 Lu  71   22436#
154 Hf  72       * 
155 La  57    8013#
155 Ce  58    9013#
155 Pr  59    9989.
155 Nd  60   11096.
155 Pm  61   12434.
155 Sm  62   13773.
155 Eu  63   14593.
155 Gd  64   15329.
155 Tb  65   16079.
155 Dy  66   16155.
155 Ho  67   17170.
155 Er  68   17883.
155 Tm  69   18795.
155 Yb  70   19437#
155 Lu  71   20314.
155 Hf  72   23012#
155 Ta  73       * 
156 La  57    7663#
156 Ce  58    8743#
156 Pr  59    9605#
156 Nd  60   10791.
156 Pm  61   11794.
156 Sm  62   13047.
156 Eu  63   14487.
156 Gd  64   14971.
156 Tb  65   16077.
156 Dy  66   16277.
156 Ho  67   16982.
156 Er  68   17749.
156 Tm  69   18550.
156 Yb  70   19476.
156 Lu  71   20127#
156 Hf  72   21289#
156 Ta  73       * 
157 Ce  58    8293#
157 Pr  59    9268#
157 Nd  60   10320.
157 Pm  61   11499.
157 Sm  62   12629.
157 Eu  63   13783.
157 Gd  64   14896.
157 Tb  65   15656.
157 Dy  66   16411.
157 Ho  67   16935.
157 Er  68   17347.
157 Tm  69   18225.
157 Yb  70   19061.
157 Lu  71   20038.
157 Hf  72   20876#
157 Ta  73   21808#
157 W   74       * 
158 Ce  58    7983#
158 Pr  59    8905#
158 Nd  60    9724#
158 Pm  61   11068.
158 Sm  62   12032.
158 Eu  63   13315.
158 Gd  64   14297.
158 Tb  65   15522.
158 Dy  66   16021.
158 Ho  67   16851.
158 Er  68   17234.
158 Tm  69   18011.
158 Yb  70   18887.
158 Lu  71   19655.
158 Hf  72   20428.
158 Ta  73   21448#
158 W   74       * 
159 Pr  59    8691#
159 Nd  60    9488#
159 Pm  61   10399.
159 Sm  62   11672.
159 Eu  63   12727.
159 Gd  64   13880.
159 Tb  65   14911.
159 Dy  66   15885.
159 Ho  67   16639.
159 Er  68   17290.
159 Tm  69   18003.
159 Yb  70   18559.
159 Lu  71   19410.
159 Hf  72   20092#
159 Ta  73   20988.
159 W   74   21967#
159 Re  75       * 
160 Pr  59    8333#
160 Nd  60    9222#
160 Pm  61   10055#
160 Sm  62   11127.
160 Eu  63   12367.
160 Gd  64   13394.
160 Tb  65   14508.
160 Dy  66   15408.
160 Ho  67   16337.
160 Er  68   16903.
160 Tm  69   17741.
160 Yb  70   18295.
160 Lu  71   19200.
160 Hf  72   19979.
160 Ta  73   20800#
160 W   74   21836#
160 Re  75       * 
161 Nd  60    8924#
161 Pm  61    9824#
161 Sm  62   10606.
161 Eu  63   11890.
161 Gd  64   13087.
161 Tb  65   14071.
161 Dy  66   15031.
161 Ho  67   16010.
161 Er  68   16783.
161 Tm  69   17470.
161 Yb  70   18143.
161 Lu  71   18996.
161 Hf  72   19604.
161 Ta  73   20482.
161 W   74   21403#
161 Re  75   22238#
161 Os  76       * 
162 Nd  60    8559#
162 Pm  61    9510#
162 Sm  62   10438#
162 Eu  63   11365.
162 Gd  64   12481.
162 Tb  65   13982.
162 Dy  66   14651.
162 Ho  67   15801.
162 Er  68   16412.
162 Tm  69   17318.
162 Yb  70   17806.
162 Lu  71   18704.
162 Hf  72   19372.
162 Ta  73   20099.
162 W   74   20815.
162 Re  75   21905#
162 Os  76       * 
163 Pm  61    9156#
163 Sm  62   10191#
163 Eu  63   10836.
163 Gd  64   11950.
163 Tb  65   13277.
163 Dy  66   14468.
163 Ho  67   15323.
163 Er  68   16108.
163 Tm  69   16972.
163 Yb  70   17602.
163 Lu  71   18371.
163 Hf  72   19091.
163 Ta  73   19898.
163 W   74   20495#
163 Re  75   21304.
163 Os  76   22356#
164 Pm  61    8643#
164 Sm  62    9715#
164 Eu  63   10820#
164 Gd  64   11636#
164 Tb  65   12544.
164 Dy  66   13929.
164 Ho  67   15082.
164 Er  68   15751.
164 Tm  69   16568.
164 Yb  70   17333.
164 Lu  71   17953.
164 Hf  72   18792.
164 Ta  73   19645.
164 W   74   20379.
164 Re  75   21114#
164 Os  76   22124#
164 Ir  77       * 
165 Sm  62    9231#
165 Eu  63   10381#
165 Gd  64   11281#
165 Tb  65   12112#
165 Dy  66   13374.
165 Ho  67   14663.
165 Er  68   15496.
165 Tm  69   16343.
165 Yb  70   17138.
165 Lu  71   17793.
165 Hf  72   18514.
165 Ta  73   19455.
165 W   74   20095.
165 Re  75   20800.
165 Os  76   21745#
165 Ir  77       * 
166 Sm  62    8770#
166 Eu  63    9969#
166 Gd  64   10898#
166 Tb  65   11949.
166 Dy  66   12759.
166 Ho  67   14232.
166 Er  68   15125.
166 Tm  69   16126.
166 Yb  70   16720.
166 Lu  71   17521.
166 Hf  72   18183.
166 Ta  73   18957.
166 W   74   19794.
166 Re  75   20563.
166 Os  76   21152.
166 Ir  77   22153#
166 Pt  78       * 
167 Eu  63    9429#
167 Gd  64   10503#
167 Tb  65   11504#
167 Dy  66   12460.
167 Ho  67   13524.
167 Er  68   14912.
167 Tm  69   15756.
167 Yb  70   16437.
167 Lu  71   17201.
167 Hf  72   17974.
167 Ta  73   18645.
167 W   74   19379.
167 Re  75   20314#
167 Os  76   20850#
167 Ir  77   21622#
167 Pt  78       * 
168 Eu  63    8675#
168 Gd  64    9976#
168 Tb  65   10980#
168 Dy  66   12117.
168 Ho  67   13132.
168 Er  68   14207.
168 Tm  69   15567.
168 Yb  70   16128.
168 Lu  71   17189.
168 Hf  72   17644.
168 Ta  73   18438.
168 W   74   19147.
168 Re  75   20044.
168 Os  76   20706.
168 Ir  77   21455#
168 Pt  78   22421#
169 Gd  64    9482#
169 Tb  65   10544#
169 Dy  66   11809.
169 Ho  67   12659.
169 Er  68   13774.
169 Tm  69   14874.
169 Yb  70   15929.
169 Lu  71   16726.
169 Hf  72   17391.
169 Ta  73   18082.
169 W   74   18962.
169 Re  75   19721#
169 Os  76   20363.
169 Ir  77   21164.
169 Pt  78   22043#
169 Au  79       * 
170 Gd  64    9159#
170 Tb  65   10144#
170 Dy  66   11246#
170 Ho  67   12320.
170 Er  68   13260.
170 Tm  69   14625.
170 Yb  70   15324.
170 Lu  71   16381.
170 Hf  72   17035.
170 Ta  73   17886.
170 W   74   18540.
170 Re  75   19260.
170 Os  76   20073.
170 Ir  77   20836#
170 Pt  78   21434.
170 Au  79       * 
171 Tb  65    9846#
171 Dy  66   10734#
171 Ho  67   11864.
171 Er  68   12938.
171 Tm  69   14077.
171 Yb  70   15071.
171 Lu  71   15886.
171 Hf  72   16857.
171 Ta  73   17572.
171 W   74   18310.
171 Re  75   18983.
171 Os  76   19721.
171 Ir  77   20460.
171 Pt  78   21100#
171 Au  79   21916#
171 Hg  80       * 
172 Tb  65    9269#
172 Dy  66   10488#
172 Ho  67   11388#
172 Er  68   12517.
172 Tm  69   13721.
172 Yb  70   14634.
172 Lu  71   15572.
172 Hf  72   16291.
172 Ta  73   17334.
172 W   74   17948.
172 Re  75   18766.
172 Os  76   19460.
172 Ir  77   20162#
172 Pt  78   20950.
172 Au  79   21709#
172 Hg  80       * 
173 Dy  66    9892#
173 Ho  67   10974#
173 Er  68   12078#
173 Tm  69   13188.
173 Yb  70   14387.
173 Lu  71   15195.
173 Hf  72   16123.
173 Ta  73   16818.
173 W   74   17783.
173 Re  75   18446.
173 Os  76   19278.
173 Ir  77   19999.
173 Pt  78   20615.
173 Au  79   21412.
173 Hg  80   22332#
174 Dy  66    9504#
174 Ho  67   10349#
174 Er  68   11608#
174 Tm  69   12632.
174 Yb  70   13831.
174 Lu  71   14976.
174 Hf  72   15584.
174 Ta  73   16553.
174 W   74   17272.
174 Re  75   18278.
174 Os  76   18894.
174 Ir  77   19626.
174 Pt  78   20353.
174 Au  79   21060#
174 Hg  80   21724.
175 Ho  67    9995#
175 Er  68   11141#
175 Tm  69   12197.
175 Yb  70   13286.
175 Lu  71   14427.
175 Hf  72   15212.
175 Ta  73   16154.
175 W   74   17048.
175 Re  75   17877.
175 Os  76   18809.
175 Ir  77   19268.
175 Pt  78   19913.
175 Au  79   20714.
175 Hg  80   21406#
176 Ho  67    9743#
176 Er  68   10824#
176 Tm  69   11649.
176 Yb  70   12689.
176 Lu  71   13954.
176 Hf  72   14874.
176 Ta  73   15767.
176 W   74   16557.
