# A El   Z    S(n) - neutron energy
  1  n   0       * 
 38 P   15   10513.
 38 S   16   12339.
 38 Cl  17   16418.
 38 Ar  18   20625.
 38 K   19   27526.
 38 Ca  20   31749.
 38 Sc  21   35743#
 38 Ti  22       * 
 39 Mg  12    2079#
 39 Al  13    5302#
 39 Si  14    7250.
 39 P   15    9921.
 39 S   16   12408.
 39 Cl  17   14181.
 39 Ar  18   18437.
 39 K   19   25149.
 39 Ca  20   30289.
 39 Sc  21   33835#
 39 Ti  22       * 
 40 Mg  12    1867#
 40 Al  13    4763#
 40 Si  14    6542.
 40 P   15    9635.
 40 S   16   12119.
 40 Cl  17   13902.
 40 Ar  18   16467.
 40 K   19   20877.
 40 Ca  20   28930.
 40 Sc  21   32416#
 40 Ti  22   35863#
 40 V   23       * 
 41 Al  13    3373#
 41 Si  14    6343.
 41 P   15    8347.
 41 S   16   11988.
 41 Cl  17   13649.
 41 Ar  18   15967.
 41 K   19   17894.
 41 Ca  20   23997.
 41 Sc  21   30612.
 41 Ti  22   34040#
 41 V   23       * 
 42 Al  13    3633#
 42 Si  14    5103#
 42 P   15    7018.
 42 S   16   10942.
 42 Cl  17   13416.
 42 Ar  18   15525.
 42 K   19   17629.
 42 Ca  20   19843.
 42 Sc  21   27740.
 42 Ti  22   32396.
 42 V   23   35932#
 42 Cr  24       * 
 43 Al  13    2543#
 43 Si  14    5161#
 43 P   15    6483.
 43 S   16    9329.
 43 Cl  17   12994.
 43 Ar  18   15084.
 43 K   19   17158.
 43 Ca  20   19413.
 43 Sc  21   23688.
 43 Ti  22   29766.
 43 V   23   34379#
 43 Cr  24       * 
 44 Si  14    4099#
 44 P   15    6702#
 44 S   16    7709.
 44 Cl  17   11695.
 44 Ar  18   14393.
 44 K   19   16902.
 44 Ca  20   19064.
 44 Sc  21   21837.
 44 Ti  22   28586.
 44 V   23   32639#
 44 Cr  24   36233#
 44 Mn  25       * 
 45 Si  14    1754#
 45 P   15    5223#
 45 S   16    7936.
 45 Cl  17   10245.
 45 Ar  18   13903.
 45 K   19   16182.
 45 Ca  20   18545.
 45 Sc  21   21026.
 45 Ti  22   25831.
 45 V   23   30112.
 45 Cr  24   33687#
 45 Mn  25       * 
 45 Fe  26       * 
 46 P   15    3623#
 46 S   16    6598#
 46 Cl  17    9617.
 46 Ar  18   13242.
 46 K   19   15775.
 46 Ca  20   17813.
 46 Sc  21   20087.
 46 Ti  22   22721.
 46 V   23   29101.
 46 Cr  24   32254#
 46 Mn  25   35742#
 46 Fe  26       * 
 47 P   15    2032#
 47 S   16    4783#
 47 Cl  17    7660#
 47 Ar  18   11738.
 47 K   19   15238.
 47 Ca  20   17674.
 47 Sc  21   19407.
 47 Ti  22   22070.
 47 V   23   26263.
 47 Cr  24   31190.
 47 Mn  25   33459#
 47 Fe  26   36774#
 47 Co  27       * 
 48 S   16    3721#
 48 Cl  17    6563#
 48 Ar  18    8651.
 48 K   19   13013.
 48 Ca  20   17227.
 48 Sc  21   18885.
 48 Ti  22   20507.
 48 V   23   23544.
 48 Cr  24   29493.
 48 Mn  25   32869#
 48 Fe  26   35053#
 48 Co  27       * 
 48 Ni  28       * 
 49 S   16    2420#
 49 Cl  17    5423#
 49 Ar  18    7966#
 49 K   19   10042.
 49 Ca  20   15097.
 49 Sc  21   18367.
 49 Ti  22   19769.
 49 V   23   22097.
 49 Cr  24   26913.
 49 Mn  25   31196.
 49 Fe  26   34024#
 49 Co  27   36393#
 49 Ni  28       * 
 50 Cl  17    4123#
 50 Ar  18    7191#
 50 K   19    9586.
 50 Ca  20   11507.
 50 Sc  21   16186.
 50 Ti  22   19081.
 50 V   23   20888.
 50 Cr  24   23582.
 50 Mn  25   29473.
 50 Fe  26   32619#
 50 Co  27   35273#
 50 Ni  28   37056#
 51 Cl  17    2792#
 51 Ar  18    5643#
 51 K   19    9047.
 51 Ca  20   11175.
 51 Sc  21   12810.
 51 Ti  22   17311.
 51 V   23   20384.
 51 Cr  24   22260.
 51 Mn  25   26765.
 51 Fe  26   31594.
 51 Co  27   33604#
 51 Ni  28   36242#
 52 Ar  18    4093#
 52 K   19    7552.
 52 Ca  20   10819.
 52 Sc  21   12038.
 52 Ti  22   14180.
 52 V   23   18362.
 52 Cr  24   21299.
 52 Mn  25   24222.
 52 Fe  26   29996.
 52 Co  27   32873#
 52 Ni  28   34352#
 52 Cu  29       * 
 53 Ar  18    2662#
 53 K   19    5922.
 53 Ca  20    9198.
 53 Sc  21   11820.
 53 Ti  22   13240.
 53 V   23   15789.
 53 Cr  24   19978.
 53 Mn  25   22588.
 53 Fe  26   26887.
 53 Co  27   31459.
 53 Ni  28   33874#
 53 Cu  29       * 
 54 K   19    4007#
 54 Ca  20    7036.
 54 Sc  21    9590.
 54 Ti  22   12294.
 54 V   23   14592.
 54 Cr  24   17658.
 54 Mn  25   20992.
 54 Fe  26   24066.
 54 Co  27   29791.
 54 Ni  28   33091#
 54 Cu  29   35273#
 54 Zn  30       * 
 55 K   19    3139#
 55 Ca  20    5105#
 55 Sc  21    7395.
 55 Ti  22   10979.
 55 V   23   13436.
 55 Cr  24   15965.
 55 Mn  25   19164.
 55 Fe  26   22676.
 55 Co  27   27513.
 55 Ni  28   31847.
 55 Cu  29   34508#
 55 Zn  30       * 
 56 K   19    3213#
 56 Ca  20    4880#
 56 Sc  21    7103.
 56 Ti  22    9840.
 56 V   23   12404.
 56 Cr  24   14492.
 56 Mn  25   17496.
 56 Fe  26   20495.
 56 Co  27   24173.
 56 Ni  28   30771.
 56 Cu  29   33375#
 56 Zn  30   35261#
 56 Ga  31       * 
 57 Ca  20    4667#
 57 Sc  21    6979.
 57 Ti  22    8390.
 57 V   23   11411.
 57 Cr  24   13557.
 57 Mn  25   15916.
 57 Fe  26   18843.
