# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
 36 Cl  17    8579.7
 36 Ar  18   15255.5
 36 K   19   14315.4
 36 Ca  20   19310# 
 36 Sc  21       *  
 37 Na  11     840# 
 37 Mg  12     240.0
 37 Al  13    4212.1
 37 Si  14    2206.7
 37 P   15    6816.2
 37 S   16    4303.6
 37 Cl  17   10310.8
 37 Ar  18    8787.4
 37 K   19   15454.4
 37 Ca  20   14756.2
 37 Sc  21   19902# 
 38 Mg  12    2209# 
 38 Al  13    1671.0
 38 Si  14    5670.1
 38 P   15    3696.8
 38 S   16    8036.1
 38 Cl  17    6107.8
 38 Ar  18   11838.4
 38 K   19   12071.8
 38 Ca  20   16993.7
 38 Sc  21   15841# 
 38 Ti  22       *  
 39 Mg  12    -130# 
 39 Al  13    3631# 
 39 Si  14    1580.6
 39 P   15    6224.3
 39 S   16    4372.7
 39 Cl  17    8073.4
 39 Ar  18    6598.6
 39 K   19   13077.7
 39 Ca  20   13295.5
 39 Sc  21   17995# 
 39 Ti  22   16741# 
 40 Mg  12    1997# 
 40 Al  13    1132# 
 40 Si  14    4961.9
 40 P   15    3411.0
 40 S   16    7746.5
 40 Cl  17    5828.9
 40 Ar  18    9869.0
 40 K   19    7799.6
 40 Ca  20   15635.0
 40 Sc  21   14421.9
 40 Ti  22   19122# 
 40 V   23       *  
 41 Al  13    2241# 
 41 Si  14    1381.3
 41 P   15    4936.7
 41 S   16    4242.0
 41 Cl  17    7820.6
 41 Ar  18    6098.9
 41 K   19   10095.3
 41 Ca  20    8362.8
 41 Sc  21   16190.3
 41 Ti  22   14918.4
 41 V   23   19921# 
 42 Al  13    1392# 
 42 Si  14    3721# 
 42 P   15    2081.8
 42 S   16    6700.4
 42 Cl  17    5595.9
 42 Ar  18    9426.4
 42 K   19    7533.8
 42 Ca  20   11480.6
 42 Sc  21   11550.0
 42 Ti  22   17478.4
 42 V   23   16011# 
 42 Cr  24       *  
 43 Al  13    1151# 
 43 Si  14    1440# 
 43 P   15    4401.2
 43 S   16    2629.0
 43 Cl  17    7399.0
 43 Ar  18    5658.4
 43 K   19    9624.6
 43 Ca  20    7932.8
 43 Sc  21   12138.2
 43 Ti  22   12287.7
 43 V   23   18368# 
 43 Cr  24   16771# 
 44 Si  14    2659# 
 44 P   15    2301# 
 44 S   16    5080.0
 44 Cl  17    4296.3
 44 Ar  18    8734.7
 44 K   19    7277.4
 44 Ca  20   11131.1
 44 Sc  21    9699.2
 44 Ti  22   16298.8
 44 V   23   14271.3
 44 Cr  24   19462# 
 44 Mn  25       *  
 45 Si  14    -905# 
 45 P   15    2922# 
 45 S   16    2856.6
 45 Cl  17    5949.3
 45 Ar  18    5168.8
 45 K   19    8905.4
 45 Ca  20    7414.8
 45 Sc  21   11327.2
 45 Ti  22    9532.5
 45 V   23   15840.9
 45 Cr  24   14226# 
 45 Mn  25   20351# 
 45 Fe  26       *  
 46 P   15     701# 
 46 S   16    3742# 
 46 Cl  17    3668.1
 46 Ar  18    8073.4
 46 K   19    6869.6
 46 Ca  20   10398.5
 46 Sc  21    8760.6
 46 Ti  22   13189.2
