# A Z El S(n) - neutron energy
# 89 39 Y 11480.65
# A El   Z    S(n) - neutron energy
 96 In  49       *  
 97 Br  35    3963# 
 97 Kr  36    2415.1
 97 Rb  37    5236.1
 97 Sr  38    3728.6
 97 Y   39    5856.8
 97 Zr  40    5575.1
 97 Nb  41    8074.2
 97 Mo  42    6821.1
 97 Tc  43    9474.1
 97 Ru  44    8111.5
 97 Rh  45   10981.1
 97 Pd  46    9693.7
 97 Ag  47   14385.5
 97 Cd  48   12952# 
 97 In  49   17370# 
 98 Br  35    2266# 
 98 Kr  36    4959# 
 98 Rb  37    3921.3
 98 Sr  38    5912.9
 98 Y   39    4244.6
 98 Zr  40    6415.3
 98 Nb  41    5990.1
 98 Mo  42    8642.6
 98 Tc  43    7279.1
 98 Ru  44   10175.6
 98 Rh  45    8648.9
 98 Pd  46   11586.4
 98 Ag  47   10311.8
 98 Cd  48   15254# 
 98 In  49   14778# 
 99 Kr  36    2520# 
 99 Rb  37    4823.3
 99 Sr  38    4169.6
 99 Y   39    6426.3
 99 Zr  40    4405.2
 99 Nb  41    6882.0
 99 Mo  42    5925.4
 99 Tc  43    8966.9
 99 Ru  44    7471.8
 99 Rh  45   10477.4
 99 Pd  46    8932.9
 99 Ag  47   11717.3
 99 Cd  48   10366.0
 99 In  49   15551# 
 99 Sn  50       *  
100 Kr  36    4364# 
100 Rb  37    3197.2
100 Sr  38    5370.8
100 Y   39    4748.8
100 Zr  40    6828.1
100 Nb  41    5533.3
100 Mo  42    8294.2
100 Tc  43    6764.4
100 Ru  44    9673.3
100 Rh  45    8081.1
100 Pd  46   11101.4
100 Ag  47    9496.8
100 Cd  48   12334.7
100 In  49   11008# 
100 Sn  50   17410# 
101 Kr  36    2147# 
101 Rb  37    4669# 
101 Sr  38    3575.3
101 Y   39    5804.9
101 Zr  40    4859.8
101 Nb  41    7165.4
101 Mo  42    5398.2
101 Tc  43    8394.9
101 Ru  44    6802.0
101 Rh  45    9892.6
101 Pd  46    8290.6
101 Ag  47   11267.7
101 Cd  48    9713.1
101 In  49   12372# 
101 Sn  50   11093.9
102 Rb  37    2933# 
102 Sr  38    4905.7
102 Y   39    4183.4
102 Zr  40    6493.0
102 Nb  41    5484.3
102 Mo  42    8117.4
102 Tc  43    6299.6
102 Ru  44    9219.6
102 Rh  45    7442.2
102 Pd  46   10542.3
102 Ag  47    8983.6
102 Cd  48   11894.5
102 In  49   10152# 
102 Sn  50   12700.5
103 Rb  37    3973# 
103 Sr  38    3334# 
103 Y   39    5355.7
103 Zr  40    4298.9
103 Nb  41    6795.4
103 Mo  42    5465.9
103 Tc  43    8102.3
103 Ru  44    6232.0
103 Rh  45    9319.7
103 Pd  46    7625.3
103 Ag  47   10627.3
103 Cd  48    9063.2
103 In  49   12009.0
103 Sn  50   10109.0
103 Sb  51       *  
104 Sr  38    4755# 
104 Y   39    3678# 
104 Zr  40    5980.0
104 Nb  41    4861.6
104 Mo  42    7460.6
104 Tc  43    5970.8
104 Ru  44    8899.8
104 Rh  45    6998.9
104 Pd  46   10009.2
104 Ag  47    8385.0
104 Cd  48   11388.0
104 In  49    9621.3
104 Sn  50   12725.7
104 Sb  51   11067# 
105 Sr  38    2576# 
105 Y   39    5278# 
105 Zr  40    3811.9
105 Nb  41    6167.8
105 Mo  42    5058.4
105 Tc  43    7857.9
105 Ru  44    5910.1
105 Rh  45    8963.2
105 Pd  46    7094.1
105 Ag  47   10025.7
105 Cd  48    8436.7
105 In  49   11529.2
105 Sn  50    9782.2
105 Sb  51   12913.1
105 Te  52       *  
106 Sr  38    4251# 
106 Y   39    2854# 
106 Zr  40    5156.5
106 Nb  41    4359.1
106 Mo  42    6868.7
106 Tc  43    5557.4
106 Ru  44    8460.0
106 Rh  45    6582.7
106 Pd  46    9560.9
106 Ag  47    7942.8
106 Cd  48   10869.6
106 In  49    9038.8
106 Sn  50   12087.0
106 Sb  51   10529.1
106 Te  52   13479.5
107 Sr  38    2181# 
107 Y   39    4383# 
107 Zr  40    3901.0
107 Nb  41    5591.7
107 Mo  42    4488.3
107 Tc  43    7045.0
107 Ru  44    5610.6
107 Rh  45    8572.3
107 Pd  46    6536.4
107 Ag  47    9535.6
107 Cd  48    7929.4
107 In  49   11027.4
107 Sn  50    9229.8
107 Sb  51   12251.2
107 Te  52   10390.9
107 I   53       *  
108 Y   39    3004# 
108 Zr  40    5045# 
108 Nb  41    3893.2
108 Mo  42    6275.7
108 Tc  43    5244.1
108 Ru  44    7870.1
108 Rh  45    6239.3
108 Pd  46    9222.8
108 Ag  47    7271.4
108 Cd  48   10333.4
108 In  49    8626.8
108 Sn  50   11629.0
108 Sb  51    9863.4
108 Te  52   13313.6
108 I   53   11291# 
109 Y   39    3975# 
109 Zr  40    2911# 
109 Nb  41    5215.3
109 Mo  42    3981.3
109 Tc  43    6431.3
109 Ru  44    5148.3
109 Rh  45    8039.0
109 Pd  46    6153.5
109 Ag  47    9183.9
109 Cd  48    7323.2
109 In  49   10441.0
109 Sn  50    8631.5
109 Sb  51   11876.9
109 Te  52   10005.0
109 I   53   13094.2
109 Xe  54       *  
110 Zr  40    4765# 
110 Nb  41    3691.4
110 Mo  42    5947.9
110 Tc  43    4823.0
110 Ru  44    7405.4
110 Rh  45    5900.5
110 Pd  46    8795.7
110 Ag  47    6809.1
110 Cd  48    9914.9
110 In  49    8051.7
110 Sn  50   11283.1
110 Sb  51    9270.0
110 Te  52   12585.7
110 I   53   10863.0
110 Xe  54   13824.3
111 Zr  40    2745# 
111 Nb  41    4637# 
111 Mo  42    3468.4
111 Tc  43    6061.4
111 Ru  44    4784.0
111 Rh  45    7547.0
111 Pd  46    5726.3
111 Ag  47    8829.4
111 Cd  48    6975.6
111 In  49    9993.3
111 Sn  50    8167.9
111 Sb  51   11458.3
111 Te  52    9428.9
111 I   53   12560.9
111 Xe  54   10544.2
111 Cs  55       *  
112 Zr  40    4322# 
112 Nb  41    3470# 
112 Mo  42    5595# 
112 Tc  43    4305.6
112 Ru  44    6916.8
112 Rh  45    5498.3
112 Pd  46    8406.9
112 Ag  47    6439.5
112 Cd  48    9393.9
112 In  49    7669.4
112 Sn  50   10787.7
112 Sb  51    8833.5
112 Te  52   12051.3
112 I   53   10180.8
112 Xe  54   13702.1
112 Cs  55   11541# 
113 Nb  41    4308# 
113 Mo  42    3097# 
113 Tc  43    5623.9
113 Ru  44    4308.6
113 Rh  45    7107.3
113 Pd  46    5340.8
113 Ag  47    8514.4
113 Cd  48    6539.7
113 In  49    9448.3
113 Sn  50    7744.3
113 Sb  51   10889.3
113 Te  52    8850.8
113 I   53   12127.4
113 Xe  54   10248.6
113 Cs  55   13545.5
113 Ba  56       *  
114 Nb  41    2948# 
114 Mo  42    5389# 
114 Tc  43    3860.0
114 Ru  44    6425.0
114 Rh  45    5014.4
114 Pd  46    7971.1
114 Ag  47    5975.2
114 Cd  48    9042.9
114 In  49    7274.0
114 Sn  50   10302.9
114 Sb  51    8150.9
114 Te  52   11612.8
114 I   53    9748# 
114 Xe  54   12953.5
114 Cs  55   10989.0
114 Ba  56   14193# 
115 Nb  41    4038# 
115 Mo  42    3013# 
115 Tc  43    5791.0
115 Ru  44    4039.2
115 Rh  45    6590.5
115 Pd  46    5006.7
115 Ag  47    8123.1
115 Cd  48    6140.8
115 In  49    9037.8
115 Sn  50    7545.4
115 Sb  51   10578.1
115 Te  52    8245.5
115 I   53   11613# 
115 Xe  54    9642.1
115 Cs  55   13089# 
115 Ba  56   11186# 
116 Mo  42    4822# 
116 Tc  43    3207# 
116 Ru  44    5950.4
116 Rh  45    4577.6
116 Pd  46    7476.5
116 Ag  47    5631.3
116 Cd  48    8699.3
116 In  49    6784.7
116 Sn  50    9563.4
116 Sb  51    7890.0
116 Te  52   11277.5
116 I   53    9225.7
116 Xe  54   12461.2
116 Cs  55   10414# 
116 Ba  56   13631# 
116 La  57       *  
117 Mo  42    2741# 
117 Tc  43    4997# 
117 Ru  44    3492.2
117 Rh  45    6232.5
117 Pd  46    4664.1
117 Ag  47    7710.6
117 Cd  48    5777.2
117 In  49    8764.6
117 Sn  50    6943.1
117 Sb  51    9888.7
117 Te  52    7897.7
117 I   53   11015.1
117 Xe  54    9209.9
117 Cs  55   12522# 
117 Ba  56   10949# 
117 La  57   13897# 
118 Mo  42    4532# 
118 Tc  43    3479# 
118 Ru  44    5841# 
118 Rh  45    4061.4
118 Pd  46    7035.5
118 Ag  47    5443.0
118 Cd  48    8354.5
118 In  49    6356.4
118 Sn  50    9326.4
118 Sb  51    7427.9
118 Te  52   10672.4
118 I   53    8606.2
118 Xe  54   11965.0
118 Cs  55    9987.5
118 Ba  56   12968# 
118 La  57   11161# 
119 Tc  43    4653# 
119 Ru  44    3376# 
119 Rh  45    6006.6
119 Pd  46    4090.4
119 Ag  47    7163.2
119 Cd  48    5346.7
119 In  49    8542.3
119 Sn  50    6483.4
119 Sb  51    9549.2
119 Te  52    7555.9
119 I   53   10865.8
119 Xe  54    8786.6
119 Cs  55   11967.0
119 Ba  56   10307# 
119 La  57   13301# 
119 Ce  58       *  
120 Tc  43    3218# 
120 Ru  44    5519# 
120 Rh  45    4063# 
120 Pd  46    6943.4
120 Ag  47    5077.0
120 Cd  48    8051.6
120 In  49    6100.4
120 Sn  50    9104.6
120 Sb  51    7014.9
120 Te  52   10258.1
120 I   53    8058.7
120 Xe  54   11449.3
120 Cs  55    9654.9
120 Ba  56   12369.8
120 La  57   10852# 
120 Ce  58   13731# 
121 Tc  43    4333# 
121 Ru  44    3106# 
121 Rh  45    5507# 
121 Pd  46    3973.6
121 Ag  47    6822.6
121 Cd  48    5187.7
121 In  49    8178.9
121 Sn  50    6170.2
121 Sb  51    9253.8
121 Te  52    7248.8
121 I   53   10569.7
121 Xe  54    8379.8
121 Cs  55   11285.0
121 Ba  56    9927.5
121 La  57   12692# 
121 Ce  58   11161# 
121 Pr  59       *  
122 Ru  44    5174# 
122 Rh  45    3901# 
122 Pd  46    6505.1
122 Ag  47    4774.6
122 Cd  48    7609.8
122 In  49    5808.0
122 Sn  50    8815.3
122 Sb  51    6806.3
122 Te  52    9840.2
122 I   53    7900.3
122 Xe  54   10945.3
122 Cs  55    9113.7
122 Ba  56   11935.4
122 La  57   10424# 
122 Ce  58   13255# 
122 Pr  59   11429# 
123 Ru  44    3001# 
123 Rh  45    5351# 
123 Pd  46    3884.9
123 Ag  47    6513.2
123 Cd  48    4873.1
123 In  49    7928.9
123 Sn  50    5946.1
123 Sb  51    8960.0
123 Te  52    6929.0
123 I   53    9934.5
123 Xe  54    7965.0
123 Cs  55   10970.2
123 Ba  56    9117.3
123 La  57   12179# 
123 Ce  58   10484# 
123 Pr  59   13521# 
124 Ru  44    4952# 
124 Rh  45    3601# 
124 Pd  46    6031# 
124 Ag  47    4723.3
124 Cd  48    7358.8
124 In  49    5511.1
124 Sn  50    8489.3
124 Sb  51    6467.5
124 Te  52    9424.4
124 I   53    7493.3
124 Xe  54   10484.0
124 Cs  55    8759.0
124 Ba  56   11506.1
124 La  57    9679# 
124 Ce  58   12701# 
124 Pr  59   10992# 
124 Nd  60       *  
125 Rh  45    5182# 
125 Pd  46    3801# 
125 Ag  47    6391.1
125 Cd  48    4717.7
125 In  49    7677.9
125 Sn  50    5733.5
125 Sb  51    8707.3
125 Te  52    6568.9
125 I   53    9542.7
125 Xe  54    7603.2
125 Cs  55   10427.9
125 Ba  56    8650.5
125 La  57   11572.1
125 Ce  58    9813# 
125 Pr  59   12860# 
125 Nd  60   11145# 
126 Rh  45    3371# 
126 Pd  46    5812# 
126 Ag  47    4232# 
126 Cd  48    6980.0
126 In  49    5367.4
126 Sn  50    8190.1
126 Sb  51    6208.2
126 Te  52    9113.6
126 I   53    7145.4
126 Xe  54   10024.9
126 Cs  55    8334.2
126 Ba  56   11072.2
126 La  57    9285.3
126 Ce  58   12234# 
126 Pr  59   10455# 
126 Nd  60   13465# 
126 Pm  61       *  
127 Rh  45    4802# 
127 Pd  46    3391# 
127 Ag  47    5831# 
127 Cd  48    4561.9
127 In  49    7194.5
127 Sn  50    5526.8
127 Sb  51    8377.5
127 Te  52    6287.6
127 I   53    9143.9
127 Xe  54    7245.9
127 Cs  55    9960.6
127 Ba  56    8219.3
127 La  57   10993.9
127 Ce  58    9230.1
127 Pr  59   12291# 
127 Nd  60   10614# 
127 Pm  61   13508# 
128 Pd  46    5381# 
128 Ag  47    4251# 
128 Cd  48    6565.8
128 In  49    5321.0
128 Sn  50    7962.5
128 Sb  51    6002.1
128 Te  52    8783.3
128 I   53    6826.1
128 Xe  54    9610.0
128 Cs  55    7762.7
128 Ba  56   10631.8
128 La  57    8800.6
128 Ce  58   11625.9
128 Pr  59    9859# 
128 Nd  60   12850# 
128 Pm  61   11071# 
128 Sm  62       *  
129 Pd  46    1191# 
129 Ag  47    5431# 
129 Cd  48    3887.4
129 In  49    6763.1
129 Sn  50    5300.2
129 Sb  51    8070.3
129 Te  52    6082.4
129 I   53    8839.7
129 Xe  54    6907.0
129 Cs  55    9638.9
129 Ba  56    7756.0
129 La  57   10770.4
129 Ce  58    8824.9
129 Pr  59   11514.1
129 Nd  60   10072# 
129 Pm  61   13167# 
129 Sm  62   11401# 
130 Ag  47    1789# 
130 Cd  48    6130.8
130 In  49    5116.8
130 Sn  50    7612.6
130 Sb  51    5727.6
130 Te  52    8419.4
130 I   53    6500.3
130 Xe  54    9255.7
130 Cs  55    7471.8
130 Ba  56   10269.6
130 La  57    8374.1
130 Ce  58   11206.7
130 Pr  59    9473.2
130 Nd  60   12353# 
130 Pm  61   10586# 
130 Sm  62   13577# 
130 Eu  63       *  
131 Ag  47    2754# 
131 Cd  48    2172.6
131 In  49    6213.1
131 Sn  50    5203.6
131 Sb  51    7767.0
131 Te  52    5929.3
131 I   53    8577.8
131 Xe  54    6604.4
131 Cs  55    9230.3
131 Ba  56    7493.5
131 La  57   10213.2
131 Ce  58    8356.8
131 Pr  59   11196.5
131 Nd  60    9243.1
131 Pm  61   12336# 
131 Sm  62   10698# 
131 Eu  63   13658# 
132 Ag  47    1481# 
132 Cd  48    3116# 
132 In  49    2457.8
132 Sn  50    7353.2
132 Sb  51    5725.1
132 Te  52    8048.4
132 I   53    6332.1
132 Xe  54    8936.7
132 Cs  55    7165.2
132 Ba  56    9822.6
132 La  57    8025.7
132 Ce  58   10833.7
132 Pr  59    8998.1
132 Nd  60   11729.0
132 Pm  61   10039# 
132 Sm  62   13018# 
132 Eu  63   11002# 
133 Cd  48    1728# 
133 In  49    3124# 
133 Sn  50    2398.6
133 Sb  51    7359.5
133 Te  52    5820.2
133 I   53    8226.0
133 Xe  54    6435.9
133 Cs  55    8989.5
133 Ba  56    7189.9
133 La  57    9842.0
133 Ce  58    8018.6
133 Pr  59   10781.4
133 Nd  60    8977.8
133 Pm  61   11851# 
133 Sm  62   10223# 
133 Eu  63   13107# 
133 Gd  64       *  
134 Cd  48    3071# 
134 In  49    2268# 
134 Sn  50    3631.1
134 Sb  51    3168.3
134 Te  52    7667.9
134 I   53    6256.4
134 Xe  54    8553.5
134 Cs  55    6891.5
134 Ba  56    9467.5
134 La  57    7795.5
134 Ce  58   10485.9
134 Pr  59    8661.7
134 Nd  60   11385.3
134 Pm  61    9402.4
134 Sm  62   12216# 
134 Eu  63   10763# 
134 Gd  64   13514# 
135 In  49    2939# 
135 Sn  50    2269.8
135 Sb  51    3741.1
135 Te  52    3266.3
135 I   53    7807.0
135 Xe  54    6358.6
135 Cs  55    8761.8
135 Ba  56    6971.9
135 La  57    9495.9
135 Ce  58    7854.6
135 Pr  59   10479.1
135 Nd  60    8638.4
135 Pm  61   11384.6
135 Sm  62    9552# 
135 Eu  63   12291# 
135 Gd  64   11159# 
135 Tb  65       *  
136 In  49    2053# 
136 Sn  50    3338# 
136 Sb  51    2887.8
136 Te  52    4767.8
136 I   53    3837.3
136 Xe  54    8087.3
136 Cs  55    6828.3
136 Ba  56    9107.7
136 La  57    7465.4
136 Ce  58    9963.5
136 Pr  59    8475.8
136 Nd  60   11056.9
136 Pm  61    9189.1
136 Sm  62   12024.9
136 Eu  63   10167# 
136 Gd  64   12771# 
136 Tb  65   11376# 
137 In  49    2602# 
137 Sn  50    1961# 
137 Sb  51    3624.8
137 Te  52    2949.8
137 I   53    4882.3
137 Xe  54    4025.5
137 Cs  55    8278.2
137 Ba  56    6905.6
137 La  57    9174.5
137 Ce  58    7481.5
137 Pr  59    9932.6
137 Nd  60    8456.6
137 Pm  61   10974.2
137 Sm  62    9286.9
137 Eu  63   11974# 
137 Gd  64   10195# 
137 Tb  65   12909# 
138 Sn  50    3144# 
138 Sb  51    2231.3
138 Te  52    4463.5
138 I   53    3694.9
138 Xe  54    5660.1
138 Cs  55    4412.6
138 Ba  56    8611.7
138 La  57    7449.8
138 Ce  58    9723.6
138 Pr  59    8003.5
138 Nd  60   10505.0
138 Pm  61    8938.9
138 Sm  62   11542.5
138 Eu  63    9675.0
138 Gd  64   12658# 
138 Tb  65   10773# 
138 Dy  66       *  
139 Sn  50    1651# 
139 Sb  51    3639# 
139 Te  52    2580.4
139 I   53    4562.3
139 Xe  54    3743.6
139 Cs  55    5885.3
139 Ba  56    4723.4
139 La  57    8778.3
139 Ce  58    7448.2
139 Pr  59    9756.1
139 Nd  60    8066.9
139 Pm  61   10631.3
139 Sm  62    8953.7
139 Eu  63   11719.6
139 Gd  64    9903# 
139 Tb  65   12533# 
139 Dy  66   10782# 
140 Sb  51    2222# 
140 Te  52    4442.4
140 I   53    3206.5
140 Xe  54    5413.1
140 Cs  55    4420.5
140 Ba  56    6426.9
140 La  57    5160.9
140 Ce  58    9199.5
140 Pr  59    7940.6
140 Nd  60   10316.2
140 Pm  61    8784.5
140 Sm  62   11147.0
140 Eu  63    9659.2
140 Gd  64   12222# 
140 Tb  65   10423# 
140 Dy  66   13260# 
140 Ho  67       *  
141 Sb  51    3242# 
141 Te  52    1982# 
141 I   53    4391.7
141 Xe  54    3282.1
141 Cs  55    5498.7
141 Ba  56    4534.5
141 La  57    6687.0
141 Ce  58    5428.1
141 Pr  59    9398.8
141 Nd  60    8005.0
141 Pm  61   10380.5
141 Sm  62    8549.2
141 Eu  63   11011.0
141 Gd  64    9513.2
141 Tb  65   12129.8
141 Dy  66   10624# 
141 Ho  67   13177# 
142 Te  52    3954# 
142 I   53    2914.6
142 Xe  54    5103.6
142 Cs  55    4108.3
142 Ba  56    6180.9
142 La  57    5163.9
142 Ce  58    7171.5
142 Pr  59    5843.1
142 Nd  60    9828.6
142 Pm  61    8690.4
142 Sm  62   11123.8
142 Eu  63    9459.1
142 Gd  64   11806.6
142 Tb  65   10090.0
142 Dy  66   12808# 
142 Ho  67   10957# 
142 Er  68       *  
143 Te  52    1979# 
143 I   53    3932# 
143 Xe  54    3044.5
143 Cs  55    5232.2
143 Ba  56    4166.2
143 La  57    6218.6
143 Ce  58    5144.8
143 Pr  59    7352.0
143 Nd  60    6123.5
143 Pm  61    9889.9
143 Sm  62    8602.0
143 Eu  63   10999.1
143 Gd  64    9343.1
143 Tb  65   11930.9
143 Dy  66   10121# 
143 Ho  67   12869# 
143 Er  68   11302# 
144 I   53    2721# 
144 Xe  54    4740.7
144 Cs  55    3667.1
144 Ba  56    5901.2
144 La  57    4749.4
144 Ce  58    6896.5
144 Pr  59    5753.5
144 Nd  60    7817.0
144 Pm  61    6526.7
144 Sm  62   10519.7
144 Eu  63    9449.1
144 Gd  64   11599.5
144 Tb  65   10020.3
144 Dy  66   12472.4
144 Ho  67   10633# 
144 Er  68   13419# 
144 Tm  69       *  
145 I   53    3731# 
145 Xe  54    2692.3
145 Cs  55    4854.3
145 Ba  56    3820.3
145 La  57    6056.9
145 Ce  58    4706.4
145 Pr  59    6946.7
145 Nd  60    5755.3
145 Pm  61    7922.7
145 Sm  62    6757.1
145 Eu  63   10443.6
145 Gd  64    9238.1
145 Tb  65   12091.5
145 Dy  66    9743.8
145 Ho  67   12581.9
145 Er  68   10704# 
145 Tm  69   13395# 
146 Xe  54    4532.9
146 Cs  55    3327.2
146 Ba  56    5502.2
146 La  57    4286.2
146 Ce  58    6639.6
146 Pr  59    5126.3
146 Nd  60    7565.2
146 Pm  61    6258.1
146 Sm  62    8416.3
146 Eu  63    7197.3
146 Gd  64   11230.7
146 Tb  65    9446.5
146 Dy  66   12383.6
146 Ho  67   10189.4
146 Er  68   13153# 
146 Tm  69   11544# 
147 Xe  54    2476# 
147 Cs  55    4681.0
147 Ba  56    3388.2
147 La  57    5699.4
147 Ce  58    4449.8
147 Pr  59    6834.3
147 Nd  60    5292.2
147 Pm  61    7659.2
147 Sm  62    6341.3
147 Eu  63    8498.5
147 Gd  64    7342.4
147 Tb  65   11050.3
147 Dy  66    9712.4
147 Ho  67   12590.1
147 Er  68   10357.1
147 Tm  69   12990# 
148 Xe  54    4312# 
148 Cs  55    3062.1
148 Ba  56    5401.0
148 La  57    4101.6
148 Ce  58    6455.8
148 Pr  59    5162.6
148 Nd  60    7332.5
148 Pm  61    5894.7
148 Sm  62    8141.2
148 Eu  63    6825.8
148 Gd  64    8983.7
148 Tb  65    7865.7
148 Dy  66   11734.8
148 Ho  67   10305.3
148 Er  68   12942.5
148 Tm  69   10861.9
148 Yb  70       *  
149 Cs  55    4411# 
149 Ba  56    3597.8
149 La  57    5582.5
149 Ce  58    4342.8
149 Pr  59    6575.2
149 Nd  60    5038.7
149 Pm  61    7269.8
149 Sm  62    5870.7
149 Eu  63    8213.1
149 Gd  64    6929.0
149 Tb  65    9022.9
149 Dy  66    7907.6
149 Ho  67   11726.7
149 Er  68   10333.9
149 Tm  69   13189# 
149 Yb  70   10939# 
150 Cs  55    2991# 
150 Ba  56    4851# 
150 La  57    3981.3
150 Ce  58    6248.2
150 Pr  59    5332.4
150 Nd  60    7375.6
150 Pm  61    5604.2
150 Sm  62    7986.7
150 Eu  63    6422.4
150 Gd  64    8708.2
150 Tb  65    7688.3
150 Dy  66    9685.0
150 Ho  67    8370.6
150 Er  68   12161.0
150 Tm  69   10680# 
150 Yb  70   13511# 
150 Lu  71       *  
151 Cs  55    4131# 
151 Ba  56    3111# 
151 La  57    5251.6
151 Ce  58    4449.5
151 Pr  59    6550.4
151 Nd  60    5334.5
151 Pm  61    7860.2
151 Sm  62    5596.4
151 Eu  63    7931.9
151 Gd  64    6496.1
151 Tb  65    8589.1
151 Dy  66    7514.1
151 Ho  67    9748.1
151 Er  68    8506.2
151 Tm  69   12353# 
151 Yb  70   10975# 
151 Lu  71   13540# 
152 Cs  55    2772# 
152 Ba  56    4842# 
152 La  57    4051# 
152 Ce  58    5827# 
152 Pr  59    5049.7
152 Nd  60    7277.7
152 Pm  61    5939.4
152 Sm  62    8257.6
152 Eu  63    6306.7
152 Gd  64    8589.5
152 Tb  65    7164.7
152 Dy  66    9436.7
152 Ho  67    8053.3
152 Er  68   10305.4
152 Tm  69    9018.8
152 Yb  70   12799.3
152 Lu  71   11385# 
153 Ba  56    2831# 
153 La  57    4841# 
153 Ce  58    4001# 
153 Pr  59    5881.7
153 Nd  60    5252.2
153 Pm  61    7464.9
153 Sm  62    5868.4
153 Eu  63    8550.2
153 Gd  64    6246.9
153 Tb  65    8667.7
153 Dy  66    7096.3
153 Ho  67    9478.6
153 Er  68    8039.5
153 Tm  69   10324.3
153 Yb  70    9009# 
153 Lu  71   13022# 
153 Hf  72       *  
154 Ba  56    4422# 
154 La  57    3541# 
154 Ce  58    5381# 
154 Pr  59    4607.8
154 Nd  60    6566.0
154 Pm  61    5935.4
154 Sm  62    7966.8
154 Eu  63    6442.2
154 Gd  64    8894.7
154 Tb  65    6914.2
154 Dy  66    9322.2
154 Ho  67    7698.5
154 Er  68   10207.7
154 Tm  69    8525.1
154 Yb  70   10795# 
154 Lu  71    9414# 
154 Hf  72   13441# 
155 La  57    4472# 
155 Ce  58    3632# 
155 Pr  59    5381.6
155 Nd  60    4530.0
155 Pm  61    6499.2
155 Sm  62    5806.9
155 Eu  63    8151.2
155 Gd  64    6435.2
155 Tb  65    9165.0
155 Dy  66    6832.9
155 Ho  67    9471.5
155 Er  68    7675.4
155 Tm  69   10270.1
155 Yb  70    8641.8
155 Lu  71   10901# 
155 Hf  72    9571# 
155 Ta  73       *  
156 La  57    3191# 
156 Ce  58    5111# 
156 Pr  59    4224# 
156 Nd  60    6261.2
156 Pm  61    5295.0
156 Sm  62    7240.9
156 Eu  63    6335.7
156 Gd  64    8536.3
156 Tb  65    6912.0
156 Dy  66    9444.7
156 Ho  67    7510.7
156 Er  68   10073.8
156 Tm  69    8279.9
156 Yb  70   10834.4
156 Lu  71    9225.8
156 Hf  72   11718# 
156 Ta  73   10004# 
157 Ce  58    3182# 
157 Pr  59    5044# 
157 Nd  60    4059.2
157 Pm  61    6204.7
157 Sm  62    5388.4
157 Eu  63    7447.6
157 Gd  64    6359.8
157 Tb  65    8743.9
157 Dy  66    6966.9
157 Ho  67    9425.1
157 Er  68    7273.2
157 Tm  69    9946.0
157 Yb  70    8227.4
157 Lu  71   10812.3
157 Hf  72    9158# 
157 Ta  73   11803# 
157 W   74       *  
158 Ce  58    4801# 
158 Pr  59    3861# 
158 Nd  60    5664# 
158 Pm  61    4863.4
158 Sm  62    6643.9
158 Eu  63    5867.6
158 Gd  64    7937.3
158 Tb  65    6778.5
158 Dy  66    9054.1
158 Ho  67    7426.0
158 Er  68    9961.4
158 Tm  69    8065.2
158 Yb  70   10659.6
158 Lu  71    8842.9
158 Hf  72   11271# 
158 Ta  73    9645# 
158 W   74   12234# 
159 Pr  59    4830# 
159 Nd  60    3824# 
159 Pm  61    5536.3
159 Sm  62    5028.8
159 Eu  63    6859.4
159 Gd  64    5943.2
159 Tb  65    8133.0
159 Dy  66    6831.1
159 Ho  67    9213.2
159 Er  68    7328.5
159 Tm  69    9938.5
159 Yb  70    7899.6
159 Lu  71   10567.7
159 Hf  72    8821.5
159 Ta  73   11344# 
159 W   74    9733# 
159 Re  75       *  
160 Pr  59    3503# 
160 Nd  60    5398# 
160 Pm  61    4519# 
160 Sm  62    6098.3
160 Eu  63    5508.4
160 Gd  64    7451.6
160 Tb  65    6375.2
160 Dy  66    8576.9
160 Ho  67    7124.5
160 Er  68    9574.5
160 Tm  69    7802.9
160 Yb  70   10395.4
160 Lu  71    8632.6
160 Hf  72   11157.6
160 Ta  73    9455.8
160 W   74   12103# 
160 Re  75   10065# 
161 Nd  60    3526# 
161 Pm  61    5305# 
161 Sm  62    4508.4
161 Eu  63    6382.3
161 Gd  64    5635.4
161 Tb  65    7696.6
161 Dy  66    6454.3
161 Ho  67    8885.8
161 Er  68    7208.7
161 Tm  69    9668.0
161 Yb  70    7748.0
161 Lu  71   10363.7
161 Hf  72    8447.0
161 Ta  73   11026.6
161 W   74    9300# 
161 Re  75   12173# 
161 Os  76       *  
162 Nd  60    5034# 
162 Pm  61    4206# 
162 Sm  62    5929# 
162 Eu  63    4983.1
162 Gd  64    6845.8
162 Tb  65    6285.6
162 Dy  66    8196.9
162 Ho  67    6915.5
162 Er  68    9204.2
162 Tm  69    7650.4
162 Yb  70   10058.2
162 Lu  71    8340.7
162 Hf  72   10925.6
162 Ta  73    9072.5
162 W   74   11515# 
162 Re  75    9732# 
162 Os  76   12532# 
163 Pm  61    4951# 
163 Sm  62    4262# 
163 Eu  63    5852.8
163 Gd  64    5104.8
163 Tb  65    6991.4
163 Dy  66    6271.0
163 Ho  67    8408.1
163 Er  68    6904.5
163 Tm  69    9322.2
163 Yb  70    7544.0
163 Lu  71   10030.9
163 Hf  72    8165.9
163 Ta  73   10825.7
163 W   74    8980.3
163 Re  75   11572# 
163 Os  76    9823# 
164 Pm  61    3692# 
164 Sm  62    5454# 
164 Eu  63    4967# 
164 Gd  64    6531# 
164 Tb  65    5553.2
