# fM1_exp_070_172_ARC.dat                         
#                                                 
# Z = 70, A = 172                                 
# No. of entries:            16                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.435     0.000   0.203E-07   0.290E-08
     5.619     0.000   0.118E-07   0.160E-08
     5.671     0.000   0.118E-07   0.310E-08
     5.706     0.000   0.187E-07   0.390E-08
     5.715     0.000   0.149E-07   0.120E-08
     5.746     0.000   0.110E-07   0.160E-08
     5.809     0.000   0.180E-07   0.160E-08
     5.845     0.000   0.860E-08   0.160E-08
     5.906     0.000   0.187E-07   0.800E-09
     5.919     0.000   0.267E-07   0.800E-09
     5.946     0.000   0.173E-07   0.800E-09
     5.969     0.000   0.133E-07   0.160E-08
     6.265     0.000   0.125E-07   0.800E-09
     6.422     0.000   0.211E-07   0.900E-09
     6.824     0.000   0.187E-07   0.800E-09
     6.867     0.000   0.234E-07   0.800E-09
