# fE1_exp_064_159_ARC.dat                         
#                                                 
# Z = 64, A = 159                                 
# No. of entries:            15                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.272     0.000   0.700E-07   0.140E-08
     4.303     0.000   0.652E-07   0.130E-08
     4.342     0.000   0.700E-07   0.130E-08
     4.373     0.000   0.469E-07   0.118E-07
     4.385     0.000   0.514E-07   0.142E-07
     4.424     0.000   0.521E-07   0.130E-07
     4.799     0.000   0.646E-07   0.900E-09
     4.804     0.000   0.443E-07   0.830E-08
     4.834     0.000   0.697E-07   0.880E-08
     4.865     0.000   0.488E-07   0.920E-08
     4.884     0.000   0.572E-07   0.760E-08
     5.298     0.000   0.179E-06   0.500E-08
     5.386     0.000   0.126E-06   0.700E-09
     5.437     0.000   0.608E-07   0.550E-08
     5.945     0.000   0.175E-06   0.700E-09
