# fM1_exp_056_136_ARC.dat                         
#                                                 
# Z = 56, A =136                                  
# No. of entries:            15                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.414     0.000   0.119E-07   0.170E-08
     6.447     0.000   0.171E-07   0.170E-08
     6.467     0.000   0.970E-08   0.160E-08
     6.623     0.000   0.102E-07   0.150E-08
     6.708     0.000   0.118E-07   0.140E-08
     6.717     0.000   0.940E-08   0.170E-08
     6.793     0.000   0.700E-08   0.230E-08
     6.886     0.000   0.113E-07   0.120E-08
     6.967     0.000   0.850E-08   0.180E-08
     6.979     0.000   0.115E-07   0.130E-08
     7.028     0.000   0.120E-07   0.110E-08
     7.529     0.000   0.102E-07   0.170E-08
     7.558     0.000   0.141E-07   0.100E-08
     8.291     0.000   0.140E-07   0.900E-09
     9.110     0.000   0.980E-08   0.100E-08
