# fE1_exp_066_164_ARC.dat                         
#                                                 
# Z = 66, A = 164                                 
# No. of entries:            18                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.507     0.000   0.574E-07   0.670E-08
     5.536     0.000   0.546E-07   0.470E-08
     5.547     0.000   0.603E-07   0.470E-08
     5.558     0.000   0.544E-07   0.470E-08
     5.582     0.000   0.570E-07   0.470E-08
     5.606     0.000   0.726E-07   0.650E-08
     5.610     0.000   0.726E-07   0.650E-08
     5.727     0.000   0.749E-07   0.610E-08
     5.738     0.000   0.603E-07   0.430E-08
     5.768     0.000   0.103E-06   0.710E-08
     5.807     0.000   0.117E-06   0.800E-08
     5.863     0.000   0.874E-07   0.450E-08
     5.944     0.000   0.907E-07   0.470E-08
     6.744     0.000   0.130E-06   0.760E-08
     6.831     0.000   0.143E-06   0.620E-08
     6.897     0.000   0.116E-06   0.710E-08
     7.417     0.000   0.114E-06   0.102E-07
     7.586     0.000   0.126E-06   0.540E-08
