# fE1_exp_072_178_ARC.dat                         
#                                                 
# Z = 72, A = 178                                 
# No. of entries:            22                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.671     0.000   0.656E-07   0.930E-08
     5.675     0.000   0.752E-07   0.860E-08
     5.680     0.000   0.432E-07   0.860E-08
     5.685     0.000   0.764E-07   0.860E-08
     5.736     0.000   0.747E-07   0.730E-08
     5.758     0.000   0.752E-07   0.440E-08
     5.765     0.000   0.111E-06   0.440E-08
     5.811     0.000   0.540E-07   0.210E-07
     5.819     0.000   0.143E-06   0.900E-08
     5.870     0.000   0.844E-07   0.380E-08
     5.987     0.000   0.102E-06   0.960E-08
     5.991     0.000   0.827E-07   0.560E-08
     6.066     0.000   0.735E-07   0.660E-08
     6.114     0.000   0.140E-06   0.125E-07
     6.132     0.000   0.551E-07   0.234E-07
     6.177     0.000   0.901E-07   0.340E-08
     6.243     0.000   0.104E-06   0.350E-08
     6.351     0.000   0.116E-06   0.550E-08
     6.359     0.000   0.119E-06   0.360E-08
     6.453     0.000   0.107E-06   0.560E-08
     7.321     0.000   0.119E-06   0.360E-08
     7.534     0.000   0.136E-06   0.500E-08
