# fE1_exp_074_184_ARC.dat                         
#                                                 
# Z = 74, A = 184                                 
# No. of entries:            28                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.009     0.000   0.573E-07   0.108E-07
     5.017     0.000   0.662E-07   0.860E-08
     5.023     0.000   0.656E-07   0.920E-08
     5.117     0.000   0.531E-07   0.850E-08
     5.166     0.000   0.625E-07   0.125E-07
     5.190     0.000   0.445E-07   0.620E-08
     5.244     0.000   0.918E-07   0.730E-08
     5.286     0.000   0.402E-07   0.560E-08
     5.301     0.000   0.446E-07   0.720E-08
     5.308     0.000   0.827E-07   0.830E-08
     5.314     0.000   0.763E-07   0.690E-08
     5.349     0.000   0.448E-07   0.580E-08
     5.376     0.000   0.570E-07   0.630E-08
     5.381     0.000   0.572E-07   0.740E-08
     5.399     0.000   0.669E-07   0.800E-08
     5.603     0.000   0.319E-07   0.620E-08
     5.637     0.000   0.754E-07   0.750E-08
     5.698     0.000   0.677E-07   0.680E-08
     5.783     0.000   0.903E-07   0.450E-08
     5.796     0.000   0.906E-07   0.370E-08
     5.798     0.000   0.485E-07   0.970E-08
     5.980     0.000   0.101E-06   0.500E-08
     6.090     0.000   0.677E-07   0.340E-08
     6.290     0.000   0.924E-07   0.610E-08
     6.409     0.000   0.103E-06   0.410E-08
     6.509     0.000   0.692E-07   0.330E-08
     7.300     0.000   0.181E-06   0.540E-08
     7.412     0.000   0.143E-06   0.430E-08
