# fE1_exp_080_202_DRC.dat                         
#                                                 
# Z = 80, A = 202                                 
# No. of entries:            66                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.150     0.000   0.210E-06   0.504E-07
     4.275     0.000   0.241E-06   0.894E-07
     4.340     0.000   0.192E-06   0.462E-07
     4.405     0.000   0.366E-06   0.879E-07
     4.445     0.000   0.150E-06   0.464E-07
     4.460     0.000   0.596E-07   0.107E-07
     4.501     0.000   0.862E-07   0.319E-07
     4.533     0.000   0.127E-06   0.408E-07
     4.556     0.000   0.354E-06   0.955E-07
     4.577     0.000   0.775E-07   0.171E-07
     4.676     0.000   0.385E-06   0.884E-07
     4.697     0.000   0.179E-06   0.341E-07
     4.728     0.000   0.541E-06   0.162E-06
     4.738     0.000   0.444E-06   0.111E-06
     4.758     0.000   0.350E-06   0.102E-06
     4.785     0.000   0.120E-06   0.276E-07
     4.805     0.000   0.317E-06   0.983E-07
     4.837     0.000   0.303E-06   0.100E-06
     4.847     0.000   0.748E-06   0.307E-06
     4.859     0.000   0.159E-06   0.606E-07
     4.898     0.000   0.125E-06   0.326E-07
     4.910     0.000   0.339E-06   0.105E-06
     4.925     0.000   0.290E-06   0.753E-07
     5.004     0.000   0.787E-06   0.213E-06
     5.027     0.000   0.131E-06   0.274E-07
     5.050     0.000   0.222E-06   0.533E-07
     5.188     0.000   0.302E-06   0.815E-07
     5.205     0.000   0.310E-06   0.121E-06
     5.241     0.000   0.933E-07   0.224E-07
     5.283     0.000   0.284E-06   0.966E-07
     5.299     0.000   0.629E-06   0.208E-06
     5.327     0.000   0.614E-06   0.160E-06
     5.338     0.000   0.144E-06   0.345E-07
     5.388     0.000   0.427E-06   0.115E-06
     5.415     0.000   0.171E-06   0.445E-07
     5.445     0.000   0.207E-06   0.518E-07
     5.460     0.000   0.109E-06   0.316E-07
     5.472     0.000   0.628E-07   0.132E-07
     5.507     0.000   0.300E-07   0.510E-08
     5.534     0.000   0.987E-07   0.178E-07
     5.560     0.000   0.632E-07   0.202E-07
     5.595     0.000   0.265E-06   0.610E-07
     5.613     0.000   0.170E-06   0.374E-07
     5.685     0.000   0.350E-06   0.105E-06
     5.763     0.000   0.515E-07   0.139E-07
     5.790     0.000   0.273E-06   0.793E-07
     5.797     0.000   0.184E-06   0.551E-07
     5.841     0.000   0.273E-07   0.160E-08
     5.854     0.000   0.107E-06   0.363E-07
     5.904     0.000   0.137E-05   0.384E-06
     5.933     0.000   0.832E-06   0.299E-06
     5.955     0.000   0.210E-06   0.672E-07
     5.963     0.000   0.447E-06   0.121E-06
     5.969     0.000   0.309E-06   0.989E-07
     6.079     0.000   0.176E-06   0.599E-07
     6.114     0.000   0.106E-06   0.351E-07
     6.231     0.000   0.179E-06   0.376E-07
     6.249     0.000   0.662E-07   0.159E-07
     6.298     0.000   0.107E-06   0.321E-07
     6.367     0.000   0.196E-06   0.431E-07
     6.409     0.000   0.532E-06   0.165E-06
     6.459     0.000   0.584E-07   0.292E-07
     6.574     0.000   0.891E-07   0.134E-07
     6.797     0.000   0.282E-06   0.479E-07
     7.316     0.000   0.973E-06   0.204E-06
     7.755     0.000   0.230E-06   0.575E-07
