# fE1_exp_078_195_ARC.dat                         
#                                                 
# Z = 78, A = 195                                 
# No. of entries:            24                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.662     0.000   0.336E-07   0.610E-08
     4.669     0.000   0.326E-07   0.610E-08
     4.682     0.000   0.335E-07   0.610E-08
     4.696     0.000   0.306E-07   0.550E-08
     4.760     0.000   0.473E-04   0.000E+00
     4.772     0.000   0.366E-07   0.580E-08
     4.795     0.000   0.479E-04   0.000E+00
     4.819     0.000   0.450E-07   0.580E-08
     4.940     0.000   0.484E-04   0.000E+00
     4.946     0.000   0.606E-07   0.660E-08
     4.974     0.000   0.712E-07   0.510E-08
     5.012     0.000   0.571E-07   0.550E-08
     5.180     0.000   0.602E-07   0.580E-08
     5.368     0.000   0.111E-06   0.610E-08
     5.477     0.000   0.735E-07   0.550E-08
     5.516     0.000   0.631E-07   0.550E-08
     5.582     0.000   0.114E-06   0.660E-08
     5.885     0.000   0.105E-06   0.730E-08
     5.895     0.000   0.123E-06   0.640E-08
     6.008     0.000   0.130E-06   0.660E-08
     6.106     0.000   0.108E-06   0.660E-08
