# fM1_exp_066_162_ARC.dat                         
#                                                 
# Z = 66, A = 162                                 
# No. of entries:            17                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.050     0.000   0.104E-07   0.180E-08
     6.094     0.000   0.113E-07   0.140E-08
     6.199     0.000   0.109E-07   0.120E-08
     6.303     0.000   0.133E-07   0.140E-08
     6.312     0.000   0.110E-07   0.320E-08
     6.359     0.000   0.113E-07   0.150E-08
     6.417     0.000   0.113E-07   0.120E-08
     6.453     0.000   0.680E-08   0.330E-08
     6.470     0.000   0.141E-07   0.120E-08
     6.621     0.000   0.119E-07   0.230E-08
     6.663     0.000   0.104E-07   0.220E-08
     6.745     0.000   0.114E-07   0.900E-09
     7.138     0.000   0.930E-08   0.600E-09
     7.236     0.000   0.126E-07   0.600E-09
     7.310     0.000   0.135E-07   0.700E-09
     7.933     0.000   0.173E-07   0.900E-09
     8.118     0.000   0.168E-07   0.600E-09
