# fE1_exp_051_122_DRC.dat                         
#                                                 
# Z = 51, A = 122                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.536     0.000   0.117E-06   0.293E-07
     5.561     0.000   0.207E-06   0.518E-07
     5.578     0.000   0.790E-07   0.198E-07
     5.688     0.000   0.154E-06   0.385E-07
     5.789     0.000   0.102E-06   0.254E-07
     5.886     0.000   0.230E-06   0.574E-07
     5.982     0.000   0.719E-07   0.180E-07
     6.011     0.000   0.393E-07   0.980E-08
     6.176     0.000   0.160E-06   0.400E-07
     6.497     0.000   0.284E-06   0.711E-07
     6.523     0.000   0.790E-07   0.198E-07
     6.612     0.000   0.107E-06   0.268E-07
     6.729     0.000   0.955E-07   0.239E-07
     6.807     0.000   0.538E-07   0.135E-07
