# fM1_exp_064_159_ARC.dat                         
#                                                 
# Z = 64, A = 159                                 
# No. of entries:            13                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.196     0.000   0.120E-07   0.100E-07
     4.288     0.000   0.126E-07   0.890E-08
     4.360     0.000   0.269E-07   0.115E-07
     4.467     0.000   0.349E-07   0.980E-08
     4.477     0.000   0.225E-07   0.900E-08
     4.513     0.000   0.331E-07   0.103E-07
     4.550     0.000   0.202E-07   0.830E-08
     4.816     0.000   0.279E-07   0.730E-08
     4.943     0.000   0.210E-07   0.610E-08
     4.971     0.000   0.382E-07   0.750E-08
     5.086     0.000   0.226E-07   0.590E-08
     5.163     0.000   0.275E-07   0.590E-08
     5.342     0.000   0.293E-07   0.670E-08
