# fE1_exp_068_169_DRC.dat                         
#                                                 
# Z = 68, A = 169                                 
# No. of entries:            28                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.781     0.000   0.886E-07   0.295E-07
     3.823     0.000   0.914E-07   0.228E-07
     3.838     0.000   0.734E-07   0.207E-07
     3.864     0.000   0.406E-07   0.111E-07
     3.879     0.000   0.529E-07   0.182E-07
     3.974     0.000   0.108E-06   0.288E-07
     3.980     0.000   0.206E-06   0.405E-07
     4.048     0.000   0.529E-07   0.176E-07
     4.056     0.000   0.542E-07   0.128E-07
     4.074     0.000   0.739E-07   0.173E-07
     4.135     0.000   0.331E-07   0.105E-07
     4.155     0.000   0.682E-07   0.178E-07
     4.164     0.000   0.442E-07   0.147E-07
     4.182     0.000   0.422E-07   0.145E-07
     4.431     0.000   0.404E-07   0.122E-07
     4.449     0.000   0.495E-07   0.145E-07
     4.473     0.000   0.440E-07   0.131E-07
     4.516     0.000   0.566E-07   0.116E-07
     4.533     0.000   0.285E-07   0.800E-09
     4.617     0.000   0.811E-07   0.151E-07
     4.910     0.000   0.593E-07   0.117E-07
     4.923     0.000   0.294E-07   0.116E-07
     4.950     0.000   0.103E-06   0.105E-07
     5.289     0.000   0.870E-07   0.158E-07
     5.404     0.000   0.103E-06   0.209E-07
     5.441     0.000   0.581E-07   0.106E-07
     5.939     0.000   0.559E-07   0.660E-08
     6.003     0.000   0.807E-07   0.390E-08
