# fM1_exp_049_116_DRC.dat                         
#                                                 
# Z = 49, A = 116                                 
# No. of entries:            22                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.443     0.000   0.194E-07   0.490E-08
     5.532     0.000   0.420E-08   0.110E-08
     5.571     0.000   0.317E-07   0.790E-08
     5.580     0.000   0.110E-08   0.300E-09
     5.631     0.000   0.230E-07   0.580E-08
     5.665     0.000   0.116E-07   0.290E-08
     5.696     0.000   0.380E-08   0.100E-08
     5.754     0.000   0.494E-07   0.124E-07
     5.810     0.000   0.318E-07   0.800E-08
     5.955     0.000   0.167E-07   0.420E-08
     5.970     0.000   0.154E-07   0.390E-08
     5.993     0.000   0.720E-08   0.180E-08
     6.039     0.000   0.420E-08   0.110E-08
     6.048     0.000   0.870E-08   0.220E-08
     6.062     0.000   0.290E-08   0.700E-09
     6.127     0.000   0.760E-08   0.190E-08
     6.136     0.000   0.109E-07   0.270E-08
     6.359     0.000   0.790E-08   0.200E-08
     6.471     0.000   0.179E-07   0.450E-08
     6.511     0.000   0.250E-08   0.600E-09
     6.561     0.000   0.106E-07   0.270E-08
     6.657     0.000   0.127E-07   0.320E-08
