# fM1_exp_068_168_ARC.dat                         
#                                                 
# Z = 68, A = 168                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.664     0.000   0.194E-07   0.670E-08
     5.693     0.000   0.333E-07   0.111E-07
     5.716     0.000   0.174E-07   0.830E-08
     5.742     0.000   0.174E-07   0.560E-08
     5.779     0.000   0.554E-07   0.167E-07
     5.842     0.000   0.271E-07   0.890E-08
     5.923     0.000   0.197E-07   0.890E-08
     6.036     0.000   0.294E-07   0.440E-08
     6.116     0.000   0.301E-07   0.440E-08
     6.120     0.000   0.271E-07   0.440E-08
     6.280     0.000   0.520E-07   0.890E-08
     6.363     0.000   0.162E-07   0.500E-08
     6.496     0.000   0.335E-07   0.500E-08
     6.656     0.000   0.271E-07   0.390E-08
     6.779     0.000   0.301E-07   0.220E-08
     6.887     0.000   0.294E-07   0.220E-08
     6.952     0.000   0.312E-07   0.390E-08
     7.509     0.000   0.318E-07   0.110E-08
     7.694     0.000   0.457E-07   0.260E-08
