# fM1_exp_066_164_ARC.dat                         
#                                                 
# Z = 66, A = 164                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.674     0.000   0.114E-07   0.200E-08
     5.710     0.000   0.113E-07   0.200E-08
     5.750     0.000   0.126E-07   0.200E-08
     5.814     0.000   0.810E-08   0.220E-08
     5.819     0.000   0.149E-07   0.220E-08
     5.850     0.000   0.106E-07   0.320E-08
     5.902     0.000   0.970E-08   0.150E-08
     5.985     0.000   0.100E-07   0.320E-08
     6.071     0.000   0.113E-07   0.170E-08
     6.536     0.000   0.920E-08   0.130E-08
     6.621     0.000   0.100E-07   0.130E-08
     6.683     0.000   0.124E-07   0.190E-08
