# fE1_exp_070_174_ARC.dat                         
#                                                 
# Z = 70, A = 174                                 
# No. of entries:            27                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.001     0.000   0.805E-07   0.170E-08
     5.029     0.000   0.710E-07   0.330E-08
     5.082     0.000   0.371E-07   0.230E-08
     5.129     0.000   0.677E-07   0.310E-08
     5.170     0.000   0.657E-07   0.150E-08
     5.209     0.000   0.571E-07   0.150E-08
     5.219     0.000   0.591E-07   0.150E-08
     5.229     0.000   0.891E-07   0.290E-08
     5.294     0.000   0.814E-07   0.140E-08
     5.302     0.000   0.791E-07   0.140E-08
     5.343     0.000   0.107E-06   0.270E-08
     5.398     0.000   0.591E-07   0.200E-08
     5.450     0.000   0.800E-07   0.130E-08
     5.508     0.000   0.600E-07   0.120E-08
     5.607     0.000   0.876E-07   0.230E-08
     5.661     0.000   0.943E-07   0.230E-08
     5.732     0.000   0.872E-07   0.140E-08
     5.751     0.000   0.981E-07   0.220E-08
     5.756     0.000   0.876E-07   0.140E-08
     5.765     0.000   0.876E-07   0.220E-08
     5.791     0.000   0.967E-07   0.140E-08
     5.832     0.000   0.991E-07   0.130E-08
     5.842     0.000   0.738E-07   0.210E-08
     5.859     0.000   0.876E-07   0.130E-08
     5.905     0.000   0.748E-07   0.120E-08
     7.213     0.000   0.188E-06   0.500E-09
     7.390     0.000   0.129E-06   0.100E-08
