# fE1_exp_051_124_DRC.dat                         
#                                                 
# Z = 51, A = 124                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.778     0.000   0.434E-07   0.109E-07
     4.854     0.000   0.399E-07   0.100E-07
     5.402     0.000   0.319E-07   0.800E-08
     5.413     0.000   0.598E-07   0.150E-07
     5.571     0.000   0.349E-07   0.870E-08
     5.606     0.000   0.173E-06   0.431E-07
     5.874     0.000   0.463E-07   0.116E-07
     6.029     0.000   0.706E-07   0.177E-07
     6.049     0.000   0.780E-08   0.200E-08
     6.084     0.000   0.566E-07   0.142E-07
     6.336     0.000   0.275E-07   0.690E-08
     6.365     0.000   0.216E-07   0.540E-08
     6.381     0.000   0.843E-07   0.211E-07
     6.468     0.000   0.684E-07   0.171E-07
