# fE1_exp_064_157_ARC.dat                         
#                                                 
# Z = 64, A = 157                                 
# No. of entries:            26                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.368     0.000   0.502E-07   0.600E-08
     4.446     0.000   0.457E-07   0.470E-08
     4.489     0.000   0.425E-07   0.400E-08
     4.499     0.000   0.636E-07   0.720E-08
     4.515     0.000   0.423E-07   0.700E-08
     4.524     0.000   0.286E-07   0.300E-08
     4.537     0.000   0.547E-07   0.600E-08
     4.610     0.000   0.577E-07   0.350E-08
     4.620     0.000   0.385E-07   0.820E-08
     4.624     0.000   0.417E-07   0.570E-08
     4.643     0.000   0.770E-07   0.570E-08
     4.694     0.000   0.627E-07   0.750E-08
     4.702     0.000   0.497E-07   0.370E-08
     4.744     0.000   0.561E-07   0.500E-08
     4.749     0.000   0.572E-07   0.520E-08
     4.771     0.000   0.365E-07   0.670E-08
     4.839     0.000   0.348E-07   0.350E-08
     4.948     0.000   0.547E-07   0.320E-08
     5.012     0.000   0.532E-07   0.300E-08
     5.044     0.000   0.763E-07   0.320E-08
     5.551     0.000   0.125E-06   0.700E-08
     5.567     0.000   0.627E-07   0.350E-08
     5.598     0.000   0.819E-07   0.370E-08
     5.631     0.000   0.931E-07   0.370E-08
     5.659     0.000   0.622E-07   0.320E-08
     6.360     0.000   0.966E-07   0.270E-08
