# fM1_exp_090_233_ARC.dat                         
#                                                 
# Z = 90, A = 233                                 
# No. of entries:            29                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     3.090     0.000   0.126E-07   0.710E-08
     3.100     0.000   0.108E-07   0.740E-08
     3.476     0.000   0.182E-07   0.970E-08
     3.532     0.000   0.123E-07   0.490E-08
     3.563     0.000   0.820E-08   0.430E-08
     3.576     0.000   0.207E-07   0.800E-08
     3.638     0.000   0.123E-07   0.620E-08
     3.656     0.000   0.125E-07   0.650E-08
     3.674     0.000   0.207E-07   0.790E-08
     3.688     0.000   0.219E-07   0.700E-08
     3.715     0.000   0.107E-07   0.400E-08
     3.776     0.000   0.156E-07   0.570E-08
     3.805     0.000   0.154E-07   0.570E-08
     3.820     0.000   0.990E-08   0.560E-08
     3.831     0.000   0.316E-07   0.480E-08
     3.884     0.000   0.166E-07   0.630E-08
     3.897     0.000   0.161E-07   0.600E-08
     3.904     0.000   0.640E-08   0.410E-08
     3.916     0.000   0.129E-07   0.700E-08
     3.927     0.000   0.153E-07   0.570E-08
     3.938     0.000   0.124E-07   0.520E-08
     3.974     0.000   0.196E-07   0.480E-08
     4.006     0.000   0.133E-07   0.480E-08
     4.047     0.000   0.129E-07   0.480E-08
     4.075     0.000   0.209E-07   0.370E-08
     4.177     0.000   0.130E-07   0.470E-08
     4.453     0.000   0.138E-07   0.280E-08
     4.772     0.000   0.169E-07   0.250E-08
     4.789     0.000   0.173E-07   0.140E-08
