# fM1_exp_042_096_ARC.dat                         
#                                                 
# Z = 42, A =  96                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.181     0.000   0.104E-07   0.600E-09
     6.238     0.000   0.112E-07   0.600E-09
     6.350     0.000   0.540E-08   0.600E-09
     6.363     0.000   0.117E-07   0.120E-08
     6.368     0.000   0.107E-07   0.800E-09
     6.456     0.000   0.860E-08   0.500E-09
     6.531     0.000   0.101E-07   0.500E-09
     6.561     0.000   0.630E-08   0.400E-09
     6.615     0.000   0.700E-08   0.600E-09
     6.655     0.000   0.600E-08   0.600E-09
     6.675     0.000   0.590E-08   0.130E-08
     6.936     0.000   0.164E-07   0.900E-09
     7.060     0.000   0.147E-07   0.700E-09
     7.177     0.000   0.181E-07   0.800E-09
     7.286     0.000   0.159E-07   0.800E-09
     7.528     0.000   0.185E-07   0.400E-09
     7.530     0.000   0.116E-07   0.400E-09
     7.658     0.000   0.193E-07   0.900E-09
     8.378     0.000   0.175E-07   0.800E-09
