# fE1_exp_092_236_ARC.dat                         
#                                                 
# Z = 92, A = 236                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.147     0.000   0.169E-06   0.229E-07
     5.165     0.000   0.167E-06   0.229E-07
     5.195     0.000   0.150E-06   0.218E-07
     5.214     0.000   0.163E-06   0.312E-07
     5.218     0.000   0.162E-06   0.208E-07
     5.226     0.000   0.124E-06   0.166E-07
     5.281     0.000   0.124E-06   0.166E-07
     5.297     0.000   0.147E-06   0.187E-07
     5.326     0.000   0.154E-06   0.208E-07
     5.400     0.000   0.177E-06   0.229E-07
     5.420     0.000   0.196E-06   0.260E-07
     5.453     0.000   0.134E-06   0.177E-07
     5.481     0.000   0.111E-06   0.146E-07
     5.488     0.000   0.119E-06   0.156E-07
     5.495     0.000   0.139E-06   0.187E-07
     5.546     0.000   0.135E-06   0.177E-07
     5.585     0.000   0.179E-06   0.229E-07
     6.397     0.000   0.177E-06   0.229E-07
     6.501     0.000   0.157E-06   0.312E-07
