# fM1_exp_051_122_DRC.dat                         
#                                                 
# Z = 51, A = 122                                 
# No. of entries:            30                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.657     0.000   0.870E-08   0.220E-08
     4.693     0.000   0.158E-07   0.400E-08
     4.785     0.000   0.132E-07   0.330E-08
     4.932     0.000   0.490E-08   0.120E-08
     4.977     0.000   0.830E-08   0.210E-08
     5.006     0.000   0.331E-07   0.830E-08
     5.027     0.000   0.238E-07   0.600E-08
     5.047     0.000   0.212E-07   0.530E-08
     5.130     0.000   0.141E-07   0.350E-08
     5.160     0.000   0.296E-07   0.740E-08
     5.210     0.000   0.144E-07   0.360E-08
     5.222     0.000   0.171E-07   0.430E-08
     5.240     0.000   0.490E-08   0.120E-08
     5.250     0.000   0.900E-08   0.230E-08
     5.260     0.000   0.137E-07   0.340E-08
     5.425     0.000   0.230E-08   0.600E-09
     5.510     0.000   0.251E-07   0.630E-08
     5.550     0.000   0.770E-08   0.190E-08
     5.621     0.000   0.237E-07   0.590E-08
     5.648     0.000   0.370E-08   0.900E-09
     5.678     0.000   0.550E-08   0.140E-08
     5.763     0.000   0.110E-08   0.300E-09
     5.776     0.000   0.860E-08   0.220E-08
     5.803     0.000   0.450E-07   0.113E-07
     5.840     0.000   0.230E-08   0.600E-09
     5.870     0.000   0.380E-08   0.100E-08
     6.161     0.000   0.138E-07   0.350E-08
     6.332     0.000   0.149E-07   0.370E-08
     6.413     0.000   0.340E-08   0.900E-09
     6.746     0.000   0.447E-07   0.112E-07
