# fM1_exp_072_180_ARC.dat                         
#                                                 
# Z = 72, A = 180                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.353     0.000   0.234E-07   0.460E-08
     5.478     0.000   0.208E-07   0.410E-08
     5.687     0.000   0.204E-07   0.300E-08
     5.792     0.000   0.640E-08   0.190E-08
     5.830     0.000   0.173E-07   0.170E-08
     5.903     0.000   0.153E-07   0.300E-08
     5.979     0.000   0.149E-07   0.230E-08
     6.007     0.000   0.184E-07   0.520E-08
     6.019     0.000   0.168E-07   0.300E-08
     6.097     0.000   0.269E-07   0.260E-08
     6.747     0.000   0.271E-07   0.530E-08
     7.079     0.000   0.284E-07   0.250E-08
