# fM1_exp_032_074_DRC.dat                         
#                                                 
# Z = 32, A =  74                                 
# No. of entries:            34                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.387     0.000   0.770E-08   0.190E-08
     6.403     0.000   0.101E-07   0.250E-08
     6.422     0.000   0.910E-08   0.230E-08
     6.469     0.000   0.180E-07   0.450E-08
     6.488     0.000   0.105E-06   0.263E-07
     6.497     0.000   0.667E-07   0.167E-07
     6.542     0.000   0.115E-07   0.290E-08
     6.611     0.000   0.710E-08   0.180E-08
     6.681     0.000   0.364E-07   0.910E-08
     6.695     0.000   0.156E-07   0.390E-08
     6.715     0.000   0.242E-07   0.610E-08
     6.760     0.000   0.263E-07   0.660E-08
     6.772     0.000   0.111E-07   0.280E-08
     6.784     0.000   0.135E-07   0.340E-08
     6.804     0.000   0.180E-07   0.450E-08
     6.813     0.000   0.109E-07   0.270E-08
     6.924     0.000   0.364E-07   0.910E-08
     7.019     0.000   0.650E-08   0.160E-08
     7.053     0.000   0.168E-07   0.420E-08
     7.091     0.000   0.119E-06   0.298E-07
     7.112     0.000   0.263E-07   0.660E-08
     7.136     0.000   0.127E-07   0.320E-08
     7.146     0.000   0.830E-08   0.210E-08
     7.161     0.000   0.222E-07   0.560E-08
     7.222     0.000   0.485E-07   0.121E-07
     7.502     0.000   0.182E-07   0.460E-08
     7.524     0.000   0.119E-07   0.300E-08
     7.627     0.000   0.444E-07   0.111E-07
     7.812     0.000   0.630E-08   0.160E-08
     7.997     0.000   0.200E-08   0.500E-09
     8.011     0.000   0.830E-08   0.210E-08
     8.031     0.000   0.222E-07   0.560E-08
     8.499     0.000   0.135E-07   0.340E-08
     8.732     0.000   0.170E-07   0.430E-08
