# fE1_exp_053_128_ARC.dat                         
#                                                 
# Z = 53, A = 128                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.779     0.000   0.851E-07   0.690E-08
     5.795     0.000   0.554E-07   0.650E-08
     5.981     0.000   0.907E-07   0.122E-07
     5.987     0.000   0.704E-07   0.990E-08
     6.141     0.000   0.708E-07   0.152E-07
     6.219     0.000   0.554E-07   0.138E-07
     6.308     0.000   0.621E-07   0.780E-08
     6.392     0.000   0.957E-07   0.480E-08
     6.451     0.000   0.889E-07   0.152E-07
     6.683     0.000   0.876E-07   0.122E-07
     6.689     0.000   0.109E-06   0.203E-07
     6.694     0.000   0.726E-07   0.990E-08
