# fM1_exp_064_157_ARC.dat                         
#                                                 
# Z = 64, A = 157                                 
# No. of entries:            28                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.323     0.000   0.274E-07   0.420E-08
     4.364     0.000   0.174E-07   0.500E-08
     4.377     0.000   0.179E-07   0.370E-08
     4.384     0.000   0.750E-08   0.300E-08
     4.404     0.000   0.236E-07   0.250E-08
     4.409     0.000   0.176E-07   0.420E-08
     4.423     0.000   0.204E-07   0.320E-08
     4.441     0.000   0.199E-07   0.450E-08
     4.464     0.000   0.191E-07   0.320E-08
     4.506     0.000   0.174E-07   0.500E-08
     4.511     0.000   0.184E-07   0.300E-08
     4.573     0.000   0.107E-07   0.300E-08
     4.601     0.000   0.112E-07   0.320E-08
     4.639     0.000   0.194E-07   0.370E-08
     4.798     0.000   0.750E-08   0.250E-08
     4.809     0.000   0.132E-07   0.320E-08
     4.870     0.000   0.109E-07   0.350E-08
     4.883     0.000   0.221E-07   0.320E-08
     5.021     0.000   0.169E-07   0.200E-08
     5.029     0.000   0.164E-07   0.200E-08
     5.061     0.000   0.130E-07   0.170E-08
     5.077     0.000   0.970E-08   0.199E-07
     5.110     0.000   0.970E-08   0.200E-08
     5.269     0.000   0.167E-07   0.200E-08
     5.319     0.000   0.303E-07   0.250E-08
     5.609     0.000   0.152E-07   0.200E-08
     5.677     0.000   0.361E-07   0.250E-08
     5.886     0.000   0.216E-07   0.120E-08
