# fE1_exp_080_200_DRC.dat                         
#                                                 
# Z = 80, A = 200                                 
# No. of entries:            65                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.203     0.000   0.119E-06   0.191E-07
     4.247     0.000   0.181E-06   0.722E-07
     4.327     0.000   0.881E-07   0.185E-07
     4.345     0.000   0.112E-06   0.213E-07
     4.371     0.000   0.231E-06   0.300E-07
     4.385     0.000   0.238E-06   0.285E-07
     4.442     0.000   0.116E-06   0.186E-07
     4.453     0.000   0.167E-07   0.120E-08
     4.474     0.000   0.835E-07   0.750E-08
     4.492     0.000   0.156E-06   0.219E-07
     4.517     0.000   0.125E-06   0.176E-07
     4.552     0.000   0.433E-07   0.610E-08
     4.569     0.000   0.915E-07   0.146E-07
     4.587     0.000   0.317E-07   0.410E-08
     4.615     0.000   0.176E-06   0.176E-07
     4.627     0.000   0.275E-06   0.934E-07
     4.643     0.000   0.362E-07   0.430E-08
     4.658     0.000   0.116E-06   0.231E-07
     4.676     0.000   0.285E-06   0.399E-07
     4.691     0.000   0.823E-07   0.132E-07
     4.705     0.000   0.522E-07   0.131E-07
     4.738     0.000   0.364E-06   0.364E-07
     4.757     0.000   0.278E-06   0.278E-07
     4.771     0.000   0.157E-07   0.130E-08
     4.801     0.000   0.583E-06   0.758E-07
     4.809     0.000   0.581E-07   0.180E-07
     4.830     0.000   0.157E-06   0.471E-07
     4.848     0.000   0.684E-06   0.103E-06
     4.897     0.000   0.926E-07   0.232E-07
     4.924     0.000   0.864E-07   0.259E-07
     4.953     0.000   0.673E-06   0.808E-07
     4.966     0.000   0.104E-06   0.155E-07
     4.974     0.000   0.949E-07   0.380E-07
     4.987     0.000   0.249E-06   0.373E-07
     5.050     0.000   0.238E-06   0.190E-07
     5.080     0.000   0.456E-06   0.547E-07
     5.089     0.000   0.387E-07   0.930E-08
     5.150     0.000   0.222E-06   0.689E-07
     5.168     0.000   0.290E-06   0.522E-07
     5.235     0.000   0.553E-07   0.390E-08
     5.268     0.000   0.160E-06   0.256E-07
     5.328     0.000   0.328E-06   0.426E-07
     5.389     0.000   0.383E-06   0.383E-07
     5.467     0.000   0.846E-07   0.254E-07
     5.539     0.000   0.776E-06   0.311E-06
     5.567     0.000   0.231E-06   0.324E-07
     5.618     0.000   0.293E-06   0.468E-07
     5.660     0.000   0.554E-06   0.831E-07
     5.734     0.000   0.123E-05   0.160E-06
     5.783     0.000   0.110E-06   0.132E-07
     5.802     0.000   0.283E-06   0.678E-07
     5.841     0.000   0.313E-06   0.533E-07
     5.904     0.000   0.327E-06   0.327E-07
     5.970     0.000   0.521E-06   0.573E-07
     6.059     0.000   0.596E-07   0.660E-08
     6.064     0.000   0.371E-07   0.111E-07
     6.297     0.000   0.663E-07   0.133E-07
     6.314     0.000   0.203E-06   0.243E-07
     6.390     0.000   0.378E-07   0.340E-08
     6.401     0.000   0.562E-07   0.790E-08
     6.438     0.000   0.620E-07   0.620E-08
     6.459     0.000   0.822E-06   0.123E-06
     6.777     0.000   0.477E-07   0.480E-08
     7.661     0.000   0.640E-07   0.109E-07
     8.028     0.000   0.117E-06   0.940E-08
