# fE1_exp_060_144_DRC.dat                         
#                                                 
# Z = 60, A = 144                                 
# No. of entries:            20                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.672     0.000   0.298E-07   0.610E-08
     4.718     0.000   0.270E-07   0.470E-08
     4.747     0.000   0.170E-07   0.440E-08
     4.753     0.000   0.111E-07   0.240E-08
     4.831     0.000   0.162E-06   0.402E-07
     4.906     0.000   0.246E-07   0.480E-08
     4.916     0.000   0.645E-07   0.109E-07
     5.125     0.000   0.235E-07   0.560E-08
     5.162     0.000   0.102E-07   0.200E-08
     5.217     0.000   0.142E-07   0.290E-08
     5.290     0.000   0.554E-07   0.137E-07
     5.365     0.000   0.194E-07   0.370E-08
     5.398     0.000   0.611E-07   0.144E-07
     5.522     0.000   0.404E-07   0.126E-07
     5.638     0.000   0.427E-07   0.790E-08
     5.707     0.000   0.206E-07   0.340E-08
     5.743     0.000   0.328E-07   0.740E-08
     6.256     0.000   0.141E-06   0.273E-07
     6.503     0.000   0.735E-07   0.122E-07
     7.121     0.000   0.598E-07   0.117E-07
