# fM1_exp_053_128_ARC.dat                         
#                                                 
# Z = 53, A = 128                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.273     0.000   0.255E-08   0.180E-08
     6.278     0.000   0.495E-08   0.345E-08
     6.413     0.000   0.600E-08   0.255E-08
     6.435     0.000   0.144E-07   0.345E-08
     6.443     0.000   0.144E-07   0.345E-08
     6.456     0.000   0.125E-07   0.735E-08
     6.484     0.000   0.570E-08   0.525E-08
     6.531     0.000   0.105E-07   0.210E-08
     6.594     0.000   0.144E-07   0.480E-08
     6.607     0.000   0.795E-08   0.210E-08
     6.667     0.000   0.108E-07   0.645E-08
     6.677     0.000   0.105E-07   0.555E-08
     6.743     0.000   0.141E-07   0.525E-08
     6.800     0.000   0.153E-07   0.210E-08
