# fE1_exp_093_238_ARC.dat                         
#                                                 
# Z = 93, A = 238                                 
# No. of entries:            31                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.798     0.000   0.113E-06   0.111E-07
     4.813     0.000   0.649E-07   0.462E-07
     4.817     0.000   0.126E-06   0.444E-07
     4.841     0.000   0.976E-07   0.120E-07
     4.854     0.000   0.808E-07   0.203E-07
     4.889     0.000   0.794E-07   0.103E-07
     4.905     0.000   0.930E-07   0.910E-08
     4.923     0.000   0.125E-06   0.980E-08
     4.945     0.000   0.679E-07   0.370E-07
     4.961     0.000   0.529E-07   0.930E-08
     4.985     0.000   0.865E-07   0.188E-07
     4.993     0.000   0.706E-07   0.940E-08
     5.016     0.000   0.692E-07   0.880E-08
     5.032     0.000   0.123E-06   0.890E-08
     5.046     0.000   0.547E-07   0.890E-08
     5.109     0.000   0.562E-07   0.127E-07
     5.116     0.000   0.128E-06   0.148E-07
     5.123     0.000   0.750E-07   0.142E-07
     5.138     0.000   0.101E-06   0.320E-07
     5.143     0.000   0.109E-06   0.499E-07
     5.166     0.000   0.000E+00   0.516E-04
     5.166     0.000   0.163E-06   0.173E-07
     5.185     0.000   0.498E-07   0.290E-07
     5.190     0.000   0.660E-07   0.450E-07
     5.240     0.000   0.000E+00   0.523E-04
     5.309     0.000   0.000E+00   0.527E-04
     5.309     0.000   0.172E-06   0.167E-07
     5.354     0.000   0.780E-07   0.610E-08
