# fE1_exp_077_194_ARC.dat                         
#                                                 
# Z = 77, A = 194                                 
# No. of entries:            22                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.488     0.000   0.104E-06   0.600E-08
     5.521     0.000   0.150E-06   0.101E-07
     5.566     0.000   0.132E-06   0.410E-08
     5.579     0.000   0.120E-06   0.410E-08
     5.631     0.000   0.758E-07   0.420E-08
     5.677     0.000   0.107E-06   0.860E-08
     5.691     0.000   0.124E-06   0.860E-08
     5.720     0.000   0.117E-06   0.870E-08
     5.752     0.000   0.834E-07   0.154E-07
     5.758     0.000   0.125E-06   0.132E-07
     5.789     0.000   0.200E-06   0.890E-08
     5.812     0.000   0.103E-06   0.450E-08
     5.821     0.000   0.764E-07   0.450E-08
     5.871     0.000   0.128E-06   0.690E-08
     5.883     0.000   0.964E-07   0.920E-08
     5.906     0.000   0.106E-06   0.460E-08
     5.919     0.000   0.998E-07   0.700E-08
     5.928     0.000   0.147E-06   0.700E-08
     5.955     0.000   0.134E-06   0.470E-08
     5.984     0.000   0.235E-06   0.480E-08
     6.023     0.000   0.530E-07   0.960E-08
     6.067     0.000   0.132E-06   0.490E-08
