# fE1_exp_064_156_ARC.dat                         
#                                                 
# Z = 64, A = 156                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     6.157     0.000   0.935E-07   0.680E-08
     6.278     0.000   0.974E-07   0.136E-07
     6.318     0.000   0.948E-07   0.390E-08
     6.348     0.000   0.793E-07   0.228E-07
     6.363     0.000   0.136E-06   0.910E-08
     6.430     0.000   0.144E-06   0.228E-07
     6.482     0.000   0.117E-06   0.129E-07
     6.508     0.000   0.110E-06   0.550E-08
     6.568     0.000   0.123E-06   0.590E-08
     6.683     0.000   0.948E-07   0.180E-08
     6.706     0.000   0.123E-06   0.360E-08
     6.737     0.000   0.106E-06   0.360E-08
     7.277     0.000   0.109E-06   0.360E-08
     7.367     0.000   0.113E-06   0.460E-08
     7.381     0.000   0.140E-06   0.270E-08
     7.406     0.000   0.122E-06   0.270E-08
     7.485     0.000   0.128E-06   0.360E-08
     8.446     0.000   0.199E-06   0.460E-08
     8.535     0.000   0.228E-06   0.550E-08
