# fE1_exp_078_196_ARC.dat                         
#                                                 
# Z = 78, A = 196                                 
# No. of entries:            48                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.257     0.000   0.105E-06   0.175E-07
     5.264     0.000   0.122E-06   0.175E-07
     5.293     0.000   0.722E-07   0.153E-07
     5.309     0.000   0.807E-07   0.113E-07
     5.316     0.000   0.751E-07   0.113E-07
     5.324     0.000   0.480E-07   0.113E-07
     5.336     0.000   0.954E-07   0.111E-07
     5.352     0.000   0.946E-07   0.166E-07
     5.370     0.000   0.520E-07   0.109E-07
     5.430     0.000   0.905E-07   0.159E-07
     5.453     0.000   0.158E-06   0.208E-07
     5.464     0.000   0.839E-07   0.156E-07
     5.480     0.000   0.111E-06   0.205E-07
     5.502     0.000   0.126E-06   0.153E-07
     5.523     0.000   0.108E-06   0.134E-07
     5.541     0.000   0.132E-06   0.200E-07
     5.549     0.000   0.118E-06   0.149E-07
     5.557     0.000   0.127E-06   0.148E-07
     5.578     0.000   0.102E-06   0.147E-07
     5.599     0.000   0.101E-06   0.145E-07
     5.614     0.000   0.158E-06   0.191E-07
     5.653     0.000   0.142E-06   0.187E-07
     5.661     0.000   0.100E-06   0.187E-07
     5.694     0.000   0.180E-06   0.245E-07
     5.719     0.000   0.775E-07   0.181E-07
     5.724     0.000   0.972E-07   0.240E-07
     5.740     0.000   0.136E-06   0.179E-07
     5.749     0.000   0.679E-07   0.134E-07
     5.796     0.000   0.154E-06   0.175E-07
     5.854     0.000   0.136E-06   0.169E-07
     5.913     0.000   0.725E-07   0.164E-07
     5.923     0.000   0.669E-07   0.162E-07
     5.939     0.000   0.134E-06   0.162E-07
     5.991     0.000   0.124E-06   0.158E-07
     6.005     0.000   0.109E-06   0.364E-07
     6.070     0.000   0.862E-07   0.151E-07
     6.076     0.000   0.139E-06   0.202E-07
     6.100     0.000   0.137E-06   0.149E-07
     6.121     0.000   0.102E-06   0.111E-07
     6.128     0.000   0.745E-07   0.147E-07
     6.246     0.000   0.119E-06   0.139E-07
     6.319     0.000   0.140E-06   0.179E-07
     6.520     0.000   0.132E-06   0.162E-07
     6.562     0.000   0.174E-06   0.159E-07
     6.788     0.000   0.130E-06   0.145E-07
     7.345     0.000   0.224E-06   0.200E-07
     7.568     0.000   0.205E-06   0.183E-07
     7.923     0.000   0.215E-06   0.227E-07
