# fM1_exp_052_126_DRC.dat                         
#                                                 
# Z = 52, A = 126                                 
# No. of entries:            25                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.409     0.000   0.400E-07   0.100E-07
     5.489     0.000   0.229E-07   0.570E-08
     5.538     0.000   0.361E-07   0.900E-08
     5.550     0.000   0.132E-07   0.330E-08
     5.609     0.000   0.279E-07   0.700E-08
     5.627     0.000   0.790E-08   0.200E-08
     5.655     0.000   0.710E-08   0.180E-08
     5.674     0.000   0.450E-08   0.110E-08
     5.724     0.000   0.500E-08   0.130E-08
     5.921     0.000   0.730E-08   0.180E-08
     6.099     0.000   0.169E-07   0.420E-08
     6.237     0.000   0.210E-08   0.500E-09
     6.279     0.000   0.600E-08   0.150E-08
     6.299     0.000   0.730E-08   0.180E-08
     6.432     0.000   0.410E-08   0.100E-08
     6.475     0.000   0.290E-08   0.700E-09
     6.609     0.000   0.107E-07   0.270E-08
     6.692     0.000   0.171E-07   0.430E-08
     6.930     0.000   0.247E-07   0.620E-08
     7.000     0.000   0.400E-08   0.100E-08
     7.068     0.000   0.880E-08   0.220E-08
     7.240     0.000   0.215E-07   0.540E-08
     7.693     0.000   0.175E-07   0.440E-08
     8.447     0.000   0.172E-07   0.430E-08
     9.114     0.000   0.154E-07   0.390E-08
