# fM1_exp_040_092_ARC.dat                         
#                                                 
# Z = 40, A =  92                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.172     0.000   0.320E-08   0.400E-09
     5.228     0.000   0.120E-08   0.200E-09
     5.346     0.000   0.180E-08   0.300E-09
     5.371     0.000   0.450E-08   0.600E-09
     5.578     0.000   0.150E-08   0.200E-09
     5.726     0.000   0.380E-08   0.500E-09
     5.771     0.000   0.430E-08   0.500E-09
     5.816     0.000   0.110E-08   0.100E-09
     6.568     0.000   0.110E-08   0.100E-09
     6.788     0.000   0.600E-08   0.600E-09
     7.140     0.000   0.780E-08   0.800E-09
     7.701     0.000   0.490E-08   0.500E-09
