# fM1_exp_062_155_ARC.dat                         
#                                                 
# Z = 62, A = 155                                 
# No. of entries:            20                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     3.827     0.000   0.145E-07   0.730E-08
     3.894     0.000   0.700E-08   0.470E-08
     3.909     0.000   0.159E-07   0.470E-08
     3.949     0.000   0.110E-07   0.410E-08
     4.040     0.000   0.199E-07   0.400E-08
     4.080     0.000   0.172E-07   0.390E-08
     4.090     0.000   0.257E-07   0.480E-08
     4.213     0.000   0.150E-07   0.350E-08
     4.229     0.000   0.227E-07   0.330E-08
     4.243     0.000   0.107E-07   0.480E-08
     4.315     0.000   0.234E-07   0.360E-08
     4.332     0.000   0.143E-07   0.720E-08
     4.336     0.000   0.228E-07   0.650E-08
     4.386     0.000   0.107E-07   0.220E-08
     4.452     0.000   0.171E-07   0.250E-08
     4.531     0.000   0.102E-07   0.210E-08
     4.707     0.000   0.191E-07   0.270E-08
     4.847     0.000   0.207E-07   0.230E-08
     4.910     0.000   0.207E-07   0.230E-08
     4.948     0.000   0.126E-07   0.380E-08
