# fE1_exp_077_192_ARC.dat                         
#                                                 
# Z = 77, A = 192                                 
# No. of entries:            22                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.597     0.000   0.156E-06   0.770E-08
     5.618     0.000   0.228E-06   0.113E-07
     5.641     0.000   0.145E-06   0.720E-08
     5.657     0.000   0.178E-06   0.890E-08
     5.670     0.000   0.187E-06   0.930E-08
     5.684     0.000   0.734E-07   0.360E-08
     5.711     0.000   0.129E-06   0.640E-08
     5.729     0.000   0.110E-06   0.550E-08
     5.750     0.000   0.137E-06   0.670E-08
     5.868     0.000   0.226E-06   0.112E-07
     5.880     0.000   0.827E-07   0.410E-08
     5.889     0.000   0.101E-06   0.500E-08
     5.934     0.000   0.207E-06   0.103E-07
     5.959     0.000   0.179E-06   0.890E-08
     5.963     0.000   0.163E-06   0.810E-08
     5.972     0.000   0.115E-06   0.570E-08
     5.987     0.000   0.152E-06   0.760E-08
     6.056     0.000   0.110E-06   0.550E-08
     6.069     0.000   0.112E-06   0.560E-08
     6.094     0.000   0.102E-06   0.500E-08
     6.117     0.000   0.202E-06   0.101E-07
     6.143     0.000   0.114E-06   0.570E-08
