# fE1_exp_079_198_ARC.dat                         
#                                                 
# Z = 79, A = 198                                 
# No. of entries:            66                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.970     0.000   0.993E-07   0.830E-08
     4.980     0.000   0.856E-07   0.470E-08
     5.000     0.000   0.764E-07   0.560E-08
     5.010     0.000   0.969E-07   0.920E-08
     5.020     0.000   0.100E-06   0.770E-08
     5.040     0.000   0.748E-07   0.560E-08
     5.040     0.000   0.759E-07   0.101E-07
     5.050     0.000   0.567E-07   0.460E-08
     5.070     0.000   0.116E-06   0.970E-08
     5.090     0.000   0.953E-07   0.126E-07
     5.120     0.000   0.707E-07   0.126E-07
     5.130     0.000   0.993E-07   0.129E-07
     5.140     0.000   0.795E-07   0.630E-08
     5.140     0.000   0.724E-07   0.880E-08
     5.190     0.000   0.929E-07   0.370E-08
     5.220     0.000   0.977E-07   0.380E-08
     5.226     0.000   0.141E-06   0.300E-09
     5.230     0.000   0.888E-07   0.320E-08
     5.273     0.000   0.952E-07   0.580E-08
     5.304     0.000   0.137E-06   0.480E-08
     5.309     0.000   0.142E-06   0.480E-08
     5.337     0.000   0.111E-06   0.350E-08
     5.347     0.000   0.103E-06   0.500E-08
     5.352     0.000   0.128E-06   0.241E-07
     5.355     0.000   0.668E-07   0.143E-07
     5.365     0.000   0.815E-07   0.340E-08
     5.388     0.000   0.888E-07   0.300E-09
     5.397     0.000   0.888E-07   0.570E-08
     5.404     0.000   0.792E-07   0.310E-08
     5.419     0.000   0.132E-06   0.490E-08
     5.466     0.000   0.920E-07   0.260E-08
     5.474     0.000   0.701E-07   0.480E-08
     5.482     0.000   0.138E-06   0.480E-08
     5.494     0.000   0.131E-06   0.750E-08
     5.513     0.000   0.801E-07   0.320E-08
     5.525     0.000   0.115E-06   0.770E-08
     5.540     0.000   0.848E-07   0.263E-07
     5.581     0.000   0.103E-06   0.830E-08
     5.617     0.000   0.920E-07   0.880E-08
     5.621     0.000   0.116E-06   0.870E-08
     5.644     0.000   0.127E-06   0.510E-08
     5.667     0.000   0.111E-06   0.480E-08
     5.767     0.000   0.136E-06   0.310E-08
     5.840     0.000   0.912E-07   0.280E-08
     5.880     0.000   0.137E-06   0.290E-08
     5.887     0.000   0.936E-07   0.410E-08
     5.941     0.000   0.116E-06   0.280E-08
     5.964     0.000   0.953E-07   0.430E-08
     6.001     0.000   0.118E-06   0.440E-08
     6.017     0.000   0.106E-06   0.270E-08
     6.059     0.000   0.953E-07   0.470E-08
     6.063     0.000   0.124E-06   0.880E-08
     6.106     0.000   0.960E-07   0.280E-08
     6.144     0.000   0.123E-06   0.330E-08
     6.150     0.000   0.121E-06   0.330E-08
     6.166     0.000   0.146E-06   0.270E-08
     6.174     0.000   0.116E-06   0.220E-08
     6.184     0.000   0.105E-06   0.120E-07
     6.250     0.000   0.113E-06   0.530E-08
     6.253     0.000   0.113E-06   0.530E-08
     6.265     0.000   0.125E-06   0.270E-08
     6.276     0.000   0.157E-06   0.270E-08
     6.319     0.000   0.143E-06   0.220E-08
     6.421     0.000   0.110E-06   0.150E-08
     6.457     0.000   0.103E-06   0.240E-08
     6.512     0.000   0.142E-06   0.220E-08
