# fE1_exp_076_191_ARC.dat                         
#                                                 
# Z = 76, A = 191                                 
# No. of entries:            25                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.998     0.000   0.399E-07   0.133E-07
     4.131     0.000   0.656E-07   0.116E-07
     4.140     0.000   0.454E-07   0.111E-07
     4.191     0.000   0.721E-07   0.109E-07
     4.210     0.000   0.441E-07   0.950E-08
     4.230     0.000   0.338E-07   0.169E-07
     4.260     0.000   0.522E-07   0.980E-08
     4.295     0.000   0.465E-07   0.109E-07
     4.356     0.000   0.428E-07   0.810E-08
     4.385     0.000   0.524E-07   0.790E-08
     4.405     0.000   0.778E-07   0.950E-08
     4.618     0.000   0.740E-07   0.910E-08
     4.676     0.000   0.748E-07   0.350E-08
     4.802     0.000   0.641E-07   0.780E-08
     4.967     0.000   0.425E-07   0.190E-08
     5.012     0.000   0.800E-07   0.610E-08
     5.040     0.000   0.610E-07   0.710E-08
     5.124     0.000   0.513E-07   0.860E-08
     5.149     0.000   0.892E-07   0.109E-07
     5.253     0.000   0.591E-07   0.790E-08
     5.326     0.000   0.136E-06   0.157E-07
     5.344     0.000   0.122E-06   0.880E-08
     5.619     0.000   0.112E-06   0.830E-08
     5.677     0.000   0.113E-06   0.730E-08
     5.687     0.000   0.901E-07   0.640E-08
