# fE1_exp_074_185_ARC.dat                         
#                                                 
# Z = 74, A = 185                                 
# No. of entries:            18                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.259     0.000   0.983E-07   0.138E-07
     4.313     0.000   0.747E-07   0.101E-07
     4.390     0.000   0.310E-07   0.790E-08
     4.469     0.000   0.140E-06   0.147E-07
     4.537     0.000   0.639E-07   0.900E-08
     4.574     0.000   0.736E-07   0.910E-08
     4.610     0.000   0.669E-07   0.870E-08
     4.654     0.000   0.489E-07   0.330E-07
     4.687     0.000   0.814E-07   0.132E-07
     4.720     0.000   0.751E-07   0.850E-08
     4.750     0.000   0.108E-06   0.111E-07
     4.932     0.000   0.618E-07   0.113E-07
     4.987     0.000   0.131E-06   0.122E-07
     5.026     0.000   0.350E-07   0.480E-08
     5.092     0.000   0.639E-07   0.710E-08
     5.662     0.000   0.145E-06   0.131E-07
     5.731     0.000   0.114E-06   0.107E-07
     5.756     0.000   0.686E-07   0.720E-08
