# fM1_exp_094_240_ARC.dat                         
#                                                 
# Z = 94, A = 240                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.822     0.000   0.359E-07   0.260E-07
     4.975     0.000   0.343E-07   0.200E-07
     5.119     0.000   0.374E-07   0.250E-07
     5.308     0.000   0.320E-07   0.160E-07
     5.351     0.000   0.273E-07   0.140E-07
     5.399     0.000   0.296E-07   0.130E-07
     5.404     0.000   0.195E-07   0.600E-08
     5.444     0.000   0.281E-07   0.230E-07
     5.632     0.000   0.592E-07   0.110E-07
     5.671     0.000   0.241E-07   0.180E-07
     6.491     0.000   0.265E-07   0.120E-07
     6.532     0.000   0.164E-07   0.600E-08
