# fM1_exp_052_124_ARC.dat                         
#                                                 
# Z = 52, A = 124                                 
# No. of entries:            15                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.826     0.000   0.136E-07   0.160E-08
     6.898     0.000   0.550E-08   0.700E-09
     6.905     0.000   0.116E-07   0.700E-09
     6.971     0.000   0.172E-07   0.600E-09
     7.103     0.000   0.137E-07   0.800E-09
     7.117     0.000   0.810E-08   0.130E-08
     7.243     0.000   0.159E-07   0.800E-09
     7.272     0.000   0.195E-07   0.120E-08
     7.333     0.000   0.121E-07   0.600E-09
     7.386     0.000   0.850E-08   0.110E-08
     7.543     0.000   0.640E-08   0.800E-09
     7.769     0.000   0.550E-08   0.900E-09
     8.100     0.000   0.152E-07   0.600E-09
     8.823     0.000   0.149E-07   0.500E-09
     9.426     0.000   0.640E-08   0.700E-09
