# fE1_exp_078_197_ARC.dat                         
#                                                 
# Z = 78, A = 197                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.552     0.000   0.324E-07   0.420E-08
     4.767     0.000   0.571E-07   0.370E-08
     4.788     0.000   0.394E-07   0.350E-08
     4.871     0.000   0.874E-07   0.670E-08
     4.878     0.000   0.385E-07   0.670E-08
     4.954     0.000   0.724E-07   0.300E-08
     5.101     0.000   0.762E-07   0.420E-08
     5.140     0.000   0.489E-07   0.300E-08
     5.346     0.000   0.891E-07   0.350E-08
     5.580     0.000   0.557E-07   0.270E-08
     5.718     0.000   0.923E-07   0.320E-08
     5.750     0.000   0.113E-06   0.370E-08
     5.777     0.000   0.728E-07   0.290E-08
     5.848     0.000   0.198E-06   0.163E-07
