# fE1_exp_076_193_ARC.dat                         
#                                                 
# Z = 76, A = 193                                 
# No. of entries:            16                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.996     0.000   0.391E-07   0.149E-07
     4.070     0.000   0.276E-07   0.980E-08
     4.148     0.000   0.158E-07   0.196E-07
     4.199     0.000   0.166E-07   0.106E-07
     4.297     0.000   0.282E-07   0.660E-08
     4.303     0.000   0.267E-07   0.650E-08
     4.367     0.000   0.194E-07   0.740E-08
     4.407     0.000   0.541E-07   0.920E-08
     4.532     0.000   0.293E-07   0.560E-08
     4.696     0.000   0.481E-07   0.570E-08
     5.150     0.000   0.511E-07   0.520E-08
     5.277     0.000   0.353E-07   0.440E-08
     5.351     0.000   0.670E-07   0.820E-08
     5.483     0.000   0.169E-06   0.101E-07
     5.544     0.000   0.950E-07   0.580E-08
     5.585     0.000   0.559E-07   0.490E-08
