# fE1_exp_045_104_DRC.dat                         
#                                                 
# Z = 45, A = 104                                 
# No. of entries:            24                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.907     0.000   0.443E-07   0.111E-07
     5.917     0.000   0.147E-06   0.368E-07
     5.927     0.000   0.674E-07   0.169E-07
     6.011     0.000   0.460E-07   0.115E-07
     6.026     0.000   0.647E-07   0.162E-07
     6.046     0.000   0.113E-06   0.282E-07
     6.056     0.000   0.328E-07   0.820E-08
     6.109     0.000   0.160E-06   0.399E-07
     6.134     0.000   0.100E-06   0.251E-07
     6.172     0.000   0.171E-06   0.429E-07
     6.211     0.000   0.965E-07   0.241E-07
     6.287     0.000   0.557E-07   0.139E-07
     6.302     0.000   0.441E-07   0.110E-07
     6.354     0.000   0.605E-07   0.151E-07
     6.460     0.000   0.907E-07   0.227E-07
     6.477     0.000   0.140E-07   0.350E-08
     6.484     0.000   0.167E-07   0.420E-08
     6.515     0.000   0.538E-07   0.135E-07
     6.577     0.000   0.388E-07   0.970E-08
     6.786     0.000   0.155E-06   0.388E-07
     6.801     0.000   0.217E-07   0.540E-08
     6.820     0.000   0.128E-07   0.320E-08
     6.902     0.000   0.239E-07   0.600E-08
     6.999     0.000   0.445E-07   0.111E-07
