# fM1_exp_063_154_ARC.dat                         
#                                                 
# Z = 63, A = 154                                 
# No. of entries:            17                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     7.695     0.000   0.750E-08   0.000E+00
     7.749     0.000   0.405E-07   0.970E-08
     7.779     0.000   0.104E-07   0.460E-08
     7.802     0.000   0.104E-07   0.680E-08
     7.817     0.000   0.346E-07   0.600E-08
     7.831     0.000   0.141E-07   0.530E-08
     7.843     0.000   0.154E-07   0.400E-08
     7.855     0.000   0.182E-07   0.990E-08
     7.869     0.000   0.324E-07   0.243E-07
     7.897     0.000   0.930E-08   0.580E-08
     7.901     0.000   0.180E-07   0.640E-08
     7.947     0.000   0.258E-07   0.590E-08
     7.964     0.000   0.158E-07   0.480E-08
     7.998     0.000   0.111E-07   0.270E-08
     8.051     0.000   0.276E-07   0.380E-08
     8.080     0.000   0.238E-07   0.113E-07
     8.087     0.000   0.141E-07   0.570E-08
