# fE1_exp_080_199_DRC.dat                         
#                                                 
# Z = 80, A = 199                                 
# No. of entries:            34                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.170     0.000   0.172E-06   0.580E-07
     4.319     0.000   0.990E-07   0.150E-07
     4.373     0.000   0.324E-06   0.190E-07
     4.399     0.000   0.184E-06   0.570E-07
     4.423     0.000   0.980E-07   0.180E-07
     4.435     0.000   0.201E-06   0.480E-07
     4.570     0.000   0.960E-07   0.140E-07
     4.676     0.000   0.250E-06   0.580E-07
     4.692     0.000   0.337E-06   0.880E-07
     4.737     0.000   0.164E-06   0.410E-07
     4.842     0.000   0.126E-06   0.340E-07
     4.883     0.000   0.100E-06   0.600E-07
     4.920     0.000   0.122E-06   0.110E-07
     4.932     0.000   0.129E-06   0.370E-07
     5.011     0.000   0.105E-06   0.370E-07
     5.049     0.000   0.980E-07   0.260E-07
     5.069     0.000   0.241E-06   0.170E-07
     5.091     0.000   0.106E-06   0.310E-07
     5.146     0.000   0.105E-06   0.700E-08
     5.224     0.000   0.118E-06   0.137E-07
     5.305     0.000   0.107E-06   0.700E-08
     5.336     0.000   0.660E-07   0.280E-07
     5.442     0.000   0.116E-06   0.800E-08
     5.628     0.000   0.260E-07   0.500E-08
     5.660     0.000   0.116E-06   0.190E-07
     5.912     0.000   0.395E-06   0.200E-07
     5.952     0.000   0.600E-07   0.190E-07
     5.969     0.000   0.112E-06   0.180E-07
     5.996     0.000   0.850E-07   0.120E-07
     6.173     0.000   0.424E-06   0.760E-07
     6.209     0.000   0.328E-06   0.200E-07
     6.261     0.000   0.633E-06   0.250E-07
     6.457     0.000   0.463E-06   0.230E-07
     6.665     0.000   0.122E-06   0.350E-07
