# fE1_exp_069_170_ARC.dat                         
#                                                 
# Z = 69, A = 170                                 
# No. of entries:            43                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.056     0.000   0.865E-07   0.104E-07
     5.061     0.000   0.793E-07   0.960E-08
     5.067     0.000   0.441E-07   0.680E-08
     5.078     0.000   0.861E-07   0.960E-08
     5.092     0.000   0.479E-07   0.550E-08
     5.112     0.000   0.373E-07   0.460E-08
     5.127     0.000   0.915E-07   0.103E-07
     5.140     0.000   0.411E-07   0.470E-08
     5.150     0.000   0.746E-07   0.850E-08
     5.160     0.000   0.958E-07   0.104E-07
     5.198     0.000   0.888E-07   0.101E-07
     5.218     0.000   0.111E-06   0.121E-07
     5.238     0.000   0.140E-06   0.154E-07
     5.269     0.000   0.596E-07   0.690E-08
     5.279     0.000   0.395E-07   0.490E-08
     5.294     0.000   0.626E-07   0.540E-08
     5.313     0.000   0.645E-07   0.700E-08
     5.328     0.000   0.448E-07   0.540E-08
     5.356     0.000   0.726E-07   0.820E-08
     5.369     0.000   0.644E-07   0.720E-08
     5.401     0.000   0.122E-06   0.100E-07
     5.414     0.000   0.453E-07   0.510E-08
     5.425     0.000   0.867E-07   0.730E-08
     5.433     0.000   0.843E-07   0.960E-08
     5.446     0.000   0.940E-07   0.103E-07
     5.453     0.000   0.143E-06   0.120E-07
     5.521     0.000   0.116E-06   0.132E-07
     5.685     0.000   0.969E-07   0.107E-07
     5.730     0.000   0.996E-07   0.107E-07
     5.738     0.000   0.615E-07   0.670E-08
     5.811     0.000   0.854E-07   0.970E-08
     5.860     0.000   0.114E-06   0.123E-07
     5.900     0.000   0.955E-07   0.107E-07
     5.910     0.000   0.128E-06   0.143E-07
     5.944     0.000   0.108E-06   0.122E-07
     5.955     0.000   0.704E-07   0.810E-08
     6.003     0.000   0.101E-06   0.110E-07
     6.355     0.000   0.107E-06   0.117E-07
     6.373     0.000   0.125E-06   0.135E-07
     6.389     0.000   0.893E-07   0.104E-07
     6.443     0.000   0.784E-07   0.840E-08
     6.553     0.000   0.104E-06   0.121E-07
     6.592     0.000   0.806E-07   0.920E-08
