# fE1_exp_092_239_ARC.dat                         
#                                                 
# Z = 92, A = 239                                 
# No. of entries:            14                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.296     0.000   0.551E-07   0.640E-08
     3.302     0.000   0.551E-07   0.640E-08
     3.445     0.000   0.448E-07   0.840E-08
     3.482     0.000   0.692E-07   0.340E-08
     3.564     0.000   0.585E-07   0.420E-08
     3.610     0.000   0.504E-07   0.210E-08
     3.639     0.000   0.308E-07   0.380E-08
     3.739     0.000   0.324E-07   0.250E-08
     3.844     0.000   0.741E-07   0.420E-08
     3.873     0.000   0.645E-07   0.340E-08
     3.982     0.000   0.978E-07   0.420E-08
     3.991     0.000   0.568E-07   0.250E-08
     4.060     0.000   0.992E-07   0.300E-08
     4.067     0.000   0.647E-07   0.300E-08
