# fM1_exp_051_124_DRC.dat                         
#                                                 
# Z = 51, A = 124                                 
# No. of entries:            21                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.751     0.000   0.107E-07   0.270E-08
     4.861     0.000   0.145E-07   0.360E-08
     4.871     0.000   0.151E-07   0.380E-08
     4.881     0.000   0.630E-08   0.160E-08
     4.901     0.000   0.620E-08   0.160E-08
     5.168     0.000   0.232E-07   0.580E-08
     5.182     0.000   0.900E-08   0.230E-08
     5.226     0.000   0.231E-07   0.580E-08
     5.233     0.000   0.101E-07   0.250E-08
     5.285     0.000   0.342E-07   0.860E-08
     5.341     0.000   0.283E-07   0.710E-08
     5.438     0.000   0.109E-07   0.270E-08
     5.528     0.000   0.700E-08   0.180E-08
     5.814     0.000   0.320E-08   0.800E-09
     5.984     0.000   0.300E-08   0.800E-09
     6.079     0.000   0.106E-07   0.270E-08
     6.179     0.000   0.109E-07   0.270E-08
     6.253     0.000   0.115E-07   0.290E-08
     6.272     0.000   0.330E-08   0.800E-09
     6.390     0.000   0.360E-08   0.900E-09
     6.458     0.000   0.810E-08   0.200E-08
