# fE1_exp_076_189_ARC.dat                         
#                                                 
# Z = 76, A = 189                                 
# No. of entries:            31                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.448     0.000   0.253E-07   0.129E-07
     4.451     0.000   0.567E-07   0.129E-07
     4.487     0.000   0.457E-07   0.660E-08
     4.515     0.000   0.318E-07   0.570E-08
     4.524     0.000   0.628E-07   0.860E-08
     4.529     0.000   0.319E-07   0.770E-08
     4.546     0.000   0.519E-07   0.670E-08
     4.552     0.000   0.315E-07   0.580E-08
     4.561     0.000   0.606E-07   0.680E-08
     4.610     0.000   0.534E-07   0.600E-08
     4.625     0.000   0.418E-07   0.500E-08
     4.687     0.000   0.675E-07   0.620E-08
     4.703     0.000   0.273E-07   0.510E-08
     4.734     0.000   0.314E-07   0.420E-08
     4.763     0.000   0.325E-07   0.540E-08
     4.782     0.000   0.502E-07   0.540E-08
     4.866     0.000   0.332E-07   0.560E-08
     4.928     0.000   0.706E-07   0.570E-08
     5.015     0.000   0.421E-07   0.470E-08
     5.074     0.000   0.759E-07   0.600E-08
     5.234     0.000   0.568E-07   0.510E-08
     5.243     0.000   0.613E-07   0.510E-08
     5.323     0.000   0.713E-07   0.520E-08
     5.366     0.000   0.987E-07   0.800E-08
     5.373     0.000   0.494E-07   0.540E-08
     5.417     0.000   0.103E-06   0.680E-08
     5.424     0.000   0.340E-07   0.420E-08
     5.484     0.000   0.636E-07   0.570E-08
     5.827     0.000   0.206E-06   0.127E-07
     5.886     0.000   0.138E-06   0.810E-08
     5.922     0.000   0.475E-07   0.490E-08
