# fM1_exp_069_170_ARC.dat                         
#                                                 
# Z = 69, A = 170                                 
# No. of entries:            12                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     5.492     0.000   0.230E-07   0.540E-08
     5.501     0.000   0.105E-07   0.690E-08
     5.575     0.000   0.135E-07   0.360E-08
     5.751     0.000   0.119E-07   0.260E-08
     5.773     0.000   0.293E-07   0.420E-08
     5.819     0.000   0.194E-07   0.430E-08
     5.837     0.000   0.970E-08   0.600E-08
     5.851     0.000   0.129E-07   0.260E-08
     5.874     0.000   0.113E-07   0.330E-08
     5.888     0.000   0.133E-07   0.530E-08
     5.932     0.000   0.162E-07   0.270E-08
     5.988     0.000   0.217E-07   0.270E-08
