# fM1_exp_044_102_ARC.dat                         
#                                                 
# Z = 44, A = 102                                 
# No. of entries:            16                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.563     0.000   0.900E-08   0.120E-08
     6.605     0.000   0.770E-08   0.900E-09
     6.623     0.000   0.850E-08   0.100E-08
     6.628     0.000   0.990E-08   0.150E-08
     6.753     0.000   0.125E-07   0.160E-08
     6.839     0.000   0.137E-07   0.260E-08
     6.917     0.000   0.114E-07   0.900E-09
     6.980     0.000   0.830E-08   0.900E-09
     7.037     0.000   0.167E-07   0.120E-08
     7.181     0.000   0.104E-07   0.100E-08
     7.421     0.000   0.173E-07   0.100E-08
     7.639     0.000   0.137E-07   0.160E-08
     7.699     0.000   0.152E-07   0.130E-08
     8.114     0.000   0.158E-07   0.200E-08
     8.118     0.000   0.128E-07   0.200E-08
     8.745     0.000   0.183E-07   0.600E-09
