# fM1_exp_046_109_ARC.dat                         
#                                                 
# Z = 46, A = 109                                 
# No. of entries:            19                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.755     0.000   0.500E-08   0.000E+00
     4.776     0.000   0.680E-08   0.000E+00
     4.884     0.000   0.320E-08   0.100E-08
     4.910     0.000   0.490E-08   0.100E-08
     4.921     0.000   0.410E-08   0.100E-08
     5.006     0.000   0.540E-08   0.900E-09
     5.042     0.000   0.410E-08   0.800E-09
     5.088     0.000   0.680E-08   0.110E-08
     5.100     0.000   0.830E-08   0.110E-08
     5.209     0.000   0.590E-08   0.240E-08
     5.343     0.000   0.670E-08   0.900E-09
     5.363     0.000   0.470E-08   0.100E-08
     5.432     0.000   0.470E-08   0.900E-09
     5.531     0.000   0.129E-07   0.140E-08
     5.662     0.000   0.910E-08   0.110E-08
     5.720     0.000   0.710E-08   0.800E-09
     5.863     0.000   0.113E-07   0.140E-08
     5.888     0.000   0.142E-07   0.130E-08
     6.041     0.000   0.105E-07   0.100E-08
