# fE1_exp_071_177_DRC.dat                         
#                                                 
# Z = 71, A = 177                                 
# No. of entries:            13                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     5.195     0.000   0.633E-07   0.980E-08
     5.284     0.000   0.915E-08   0.930E-08
     5.532     0.000   0.137E-07   0.620E-08
     5.571     0.000   0.161E-07   0.720E-08
     5.602     0.000   0.318E-07   0.590E-08
     5.619     0.000   0.227E-07   0.590E-08
     5.684     0.000   0.223E-07   0.530E-08
     5.717     0.000   0.770E-07   0.590E-08
     5.770     0.000   0.507E-07   0.580E-08
     5.897     0.000   0.112E-07   0.410E-08
     6.089     0.000   0.360E-07   0.460E-08
     6.219     0.000   0.215E-07   0.300E-08
     6.437     0.000   0.442E-07   0.320E-08
