# fE1_exp_074_183_DRC.dat                         
#                                                 
# Z = 74, A = 183                                 
# No. of entries:            18                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     4.248     0.000   0.450E-07   0.113E-07
     4.306     0.000   0.145E-06   0.363E-07
     4.326     0.000   0.810E-07   0.203E-07
     4.368     0.000   0.200E-07   0.500E-08
     4.380     0.000   0.160E-07   0.400E-08
     4.518     0.000   0.165E-06   0.413E-07
     4.563     0.000   0.150E-07   0.380E-08
     4.635     0.000   0.201E-06   0.503E-07
     4.720     0.000   0.131E-06   0.328E-07
     4.754     0.000   0.800E-07   0.200E-07
     4.881     0.000   0.520E-07   0.130E-07
     4.900     0.000   0.360E-07   0.900E-08
     5.043     0.000   0.340E-07   0.850E-08
     5.165     0.000   0.214E-06   0.535E-07
     5.256     0.000   0.610E-07   0.153E-07
     5.982     0.000   0.260E-07   0.650E-08
     6.145     0.000   0.121E-06   0.303E-07
     6.191     0.000   0.177E-06   0.443E-07
