# fM1_exp_026_057_DRC.dat                         
#                                                 
# Z = 26, A =  57                                 
# No. of entries:            20                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     4.630     0.000   0.448E-07   0.390E-08
     4.757     0.000   0.720E-08   0.180E-08
     5.290     0.000   0.203E-07   0.130E-08
     3.267     0.000   0.480E-08   0.310E-08
     3.358     0.000   0.330E-08   0.180E-08
     3.416     0.000   0.240E-08   0.170E-08
     3.721     0.000   0.330E-08   0.180E-08
     3.780     0.000   0.380E-08   0.160E-08
     4.220     0.000   0.160E-08   0.800E-09
     4.277     0.000   0.160E-08   0.800E-09
     4.463     0.000   0.590E-08   0.110E-08
     4.951     0.000   0.440E-08   0.800E-09
     5.922     0.000   0.330E-08   0.500E-09
     6.020     0.000   0.150E-08   0.300E-09
     6.382     0.000   0.127E-07   0.400E-09
     6.507     0.000   0.900E-09   0.200E-09
     7.279     0.000   0.500E-09   0.200E-09
     7.511     0.000   0.150E-08   0.300E-09
     7.631     0.000   0.203E-07   0.900E-09
     7.646     0.000   0.103E-07   0.700E-09
