# fM1_exp_044_100_DRC.dat                         
#                                                 
# Z = 44, A = 100                                 
# No. of entries:            13                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fM1           dfM1        
     6.870     0.000   0.188E-07   0.560E-08
     6.900     0.000   0.164E-07   0.490E-08
     6.908     0.000   0.563E-07   0.169E-07
     6.926     0.000   0.148E-07   0.440E-08
     7.006     0.000   0.212E-07   0.640E-08
     7.505     0.000   0.280E-07   0.840E-08
     7.575     0.000   0.149E-07   0.450E-08
     7.611     0.000   0.234E-07   0.700E-08
     7.791     0.000   0.571E-07   0.171E-07
     7.806     0.000   0.133E-07   0.400E-08
     8.309     0.000   0.690E-07   0.207E-07
     8.545     0.000   0.228E-07   0.680E-08
     9.136     0.000   0.220E-08   0.110E-08
