# fE1_exp_041_094_DRC.dat                         
#                                                 
# Z = 41, A =  94                                 
# No. of entries:            98                   
# Col 1: photon energy E in MeV                   
# Col 2: bin width dE in MeV                      
# Col 3: dipole strength f1 in MeV^-3             
# Col 4: uncertainty df1 in MeV^-3                
# Format: 2f10.3, 2e12.3                          
# Author: J. Kopecky                              
#    E         dE       fE1           dfE1        
     3.981     0.000   0.390E-08   0.100E-08
     4.009     0.000   0.670E-08   0.170E-08
     4.259     0.000   0.790E-08   0.200E-08
     4.276     0.000   0.125E-07   0.310E-08
     4.299     0.000   0.105E-07   0.260E-08
     4.380     0.000   0.222E-07   0.560E-08
     4.389     0.000   0.310E-07   0.780E-08
     4.397     0.000   0.700E-08   0.180E-08
     4.403     0.000   0.760E-08   0.190E-08
     4.439     0.000   0.137E-07   0.340E-08
     4.448     0.000   0.720E-08   0.180E-08
     4.453     0.000   0.610E-08   0.150E-08
     4.459     0.000   0.139E-07   0.350E-08
     4.486     0.000   0.111E-07   0.280E-08
     4.543     0.000   0.250E-08   0.600E-09
     4.553     0.000   0.750E-08   0.190E-08
     4.567     0.000   0.115E-07   0.290E-08
     4.574     0.000   0.231E-07   0.580E-08
     4.607     0.000   0.182E-07   0.460E-08
     4.664     0.000   0.100E-07   0.250E-08
     4.690     0.000   0.244E-07   0.610E-08
     4.747     0.000   0.570E-08   0.140E-08
     4.758     0.000   0.249E-07   0.620E-08
     4.779     0.000   0.125E-07   0.300E-08
     4.787     0.000   0.640E-08   0.160E-08
     4.809     0.000   0.290E-08   0.700E-09
     4.907     0.000   0.820E-08   0.210E-08
     4.912     0.000   0.201E-07   0.500E-08
     4.928     0.000   0.143E-07   0.360E-08
     4.987     0.000   0.119E-07   0.300E-08
     4.991     0.000   0.157E-07   0.390E-08
     4.999     0.000   0.280E-08   0.700E-09
     5.009     0.000   0.340E-08   0.900E-09
     5.048     0.000   0.760E-08   0.190E-08
     5.053     0.000   0.420E-08   0.110E-08
     5.078     0.000   0.188E-07   0.470E-08
     5.089     0.000   0.151E-07   0.380E-08
     5.096     0.000   0.770E-08   0.190E-08
     5.162     0.000   0.182E-07   0.460E-08
     5.169     0.000   0.760E-08   0.190E-08
     5.180     0.000   0.223E-07   0.560E-08
     5.192     0.000   0.480E-08   0.120E-08
     5.229     0.000   0.760E-08   0.190E-08
     5.246     0.000   0.530E-08   0.130E-08
     5.281     0.000   0.113E-07   0.280E-08
     5.288     0.000   0.610E-08   0.150E-08
     5.300     0.000   0.800E-09   0.200E-09
     5.306     0.000   0.135E-07   0.340E-08
     5.317     0.000   0.590E-08   0.150E-08
     5.347     0.000   0.110E-07   0.280E-08
     5.363     0.000   0.123E-07   0.310E-08
     5.369     0.000   0.128E-07   0.320E-08
     5.399     0.000   0.610E-08   0.150E-08
     5.406     0.000   0.414E-07   0.104E-07
     5.412     0.000   0.790E-08   0.200E-08
     5.423     0.000   0.730E-08   0.180E-08
     5.447     0.000   0.103E-07   0.260E-08
     5.454     0.000   0.750E-08   0.190E-08
     5.464     0.000   0.280E-08   0.700E-09
     5.496     0.000   0.570E-08   0.140E-08
     5.511     0.000   0.176E-07   0.440E-08
     5.533     0.000   0.126E-07   0.320E-08
     5.570     0.000   0.550E-08   0.140E-08
     5.606     0.000   0.580E-08   0.150E-08
     5.611     0.000   0.258E-07   0.650E-08
     5.648     0.000   0.540E-08   0.140E-08
     5.660     0.000   0.800E-08   0.200E-08
     5.670     0.000   0.310E-08   0.800E-09
     5.709     0.000   0.139E-07   0.350E-08
     5.728     0.000   0.164E-07   0.410E-08
     5.735     0.000   0.555E-07   0.139E-07
     5.742     0.000   0.241E-07   0.600E-08
     5.765     0.000   0.101E-07   0.250E-08
     5.770     0.000   0.120E-07   0.300E-08
     5.781     0.000   0.760E-08   0.190E-08
     5.881     0.000   0.265E-06   0.663E-07
     5.895     0.000   0.500E-09   0.100E-09
     5.907     0.000   0.539E-07   0.135E-07
     5.948     0.000   0.566E-07   0.142E-07
     5.956     0.000   0.112E-07   0.280E-08
     5.972     0.000   0.760E-08   0.190E-08
     5.981     0.000   0.166E-07   0.420E-08
     6.050     0.000   0.340E-08   0.900E-09
     6.059     0.000   0.445E-07   0.111E-07
     6.170     0.000   0.128E-07   0.320E-08
     6.218     0.000   0.134E-07   0.340E-08
     6.252     0.000   0.185E-07   0.460E-08
     6.259     0.000   0.484E-07   0.121E-07
     6.272     0.000   0.738E-07   0.185E-07
     6.297     0.000   0.900E-09   0.200E-09
     6.435     0.000   0.175E-07   0.440E-08
     6.587     0.000   0.820E-08   0.210E-08
     6.597     0.000   0.374E-07   0.940E-08
     6.917     0.000   0.112E-06   0.280E-07
     7.116     0.000   0.103E-06   0.258E-07
     7.170     0.000   0.351E-07   0.880E-08
     7.188     0.000   0.139E-06   0.347E-07
     7.229     0.000   0.127E-06   0.317E-07
